"PEN","PCT","Count","Total","95% CI",
        1 , 90 ,    9 ,   10 ,   -  ,
        2 , 30 ,    7 ,   23 ,016-51,
        5 , 64 ,    7 ,   11 ,   -  ,
        6 , 63 ,   12 ,   19 ,   -  ,
        7 , 61 ,   17 ,   28 ,042-76,
        8 , 67 ,    6 ,    9 ,   -  ,
Total     , 58 ,   58 ,  100 ,048-67,
"Date","Br Elig","Bred","Pct","Pg Elig","Preg","Pct","Aborts","","","",
12/30/24,     24 ,   17  , 71 ,*    20 ,   1 ,  5 ,     0,,,,
01/20/25,     21 ,   10  , 48 ,*    19 ,   1 ,  5 ,     0,,,,
02/10/25,     32 ,   23  , 72 ,     30 ,   3 , 10 ,     0,,,,
03/03/25,     32 ,   10  , 31 ,     32 ,   1 ,  3 ,     0,,,,
03/24/25,     33 ,   26  , 79 ,     31 ,   3 , 10 ,     2,,,,
04/14/25,     34 ,   17  , 50 ,     34 ,   8 , 24 ,     6,,,,
05/05/25,     36 ,   28  , 78 ,     35 ,   1 ,  3 ,     0,,,,
05/26/25,     65 ,   43  , 66 ,     65 ,   6 ,  9 ,     6,,,,
06/16/25,    104 ,   55  , 53 ,    104 ,   6 ,  6 ,     6,,,,
07/07/25,    137 ,   74  , 54 ,    136 ,   3 ,  2 ,     3,,,,
07/28/25,    188 ,  101  , 54 ,    186 ,   6 ,  3 ,     6,,,,
08/18/25,    276 ,  175  , 63 ,    274 ,  44 , 16 ,     4,,,,
09/08/25,    334 ,  225  , 67 ,    330 ,  71 , 22 ,     2,,,,
09/29/25,    331 ,  197  , 60 ,    328 ,  67 , 20 ,     3,,,,
10/20/25,    406 ,  298  , 73 ,    403 , 130 , 32 ,     5,,,,
11/10/25,    404 ,  265  , 66 ,    404 , 111 , 27 ,     4,,,,
12/01/25,    383 ,  267  , 70 ,    379 , 112 , 30 ,     5,,,,
12/22/25,    355 ,  246  , 69 ,    354 ,  85 , 24 ,     1,,,,
01/12/26,    345 ,  207  , 60 ,    340 ,  84 , 25 ,     7,,,,
02/02/26,    274 ,  168  , 61 ,    271 ,  64 , 24 ,     1,,,,
02/23/26,    294 ,  210  , 71 ,      0 ,   0 ,  0 ,     0 ,,,,
03/16/26,    198 ,  168  , 85 ,      0 ,   0 ,  0 ,     0 ,,,,
   Total ,   3814 , 2452  , 64 ,   3775 , 807 , 21 ,    61,,,,
"Date","Br Elig","Bred","Pct","Pg Elig","Preg","Pct","Aborts","","","",
12/30/24,     49 ,   32  , 65 ,*    39 ,   3 ,  8 ,     1,,,,
01/20/25,     52 ,   33  , 63 ,*    40 ,   6 , 15 ,     2,,,,
02/10/25,     58 ,   37  , 64 ,*    52 ,  10 , 19 ,     4,,,,
03/03/25,     65 ,   42  , 65 ,     59 ,   6 , 10 ,     1,,,,
03/24/25,     81 ,   47  , 58 ,     78 ,  12 , 15 ,     6,,,,
04/14/25,    100 ,   68  , 68 ,     97 ,  17 , 18 ,     9,,,,
05/05/25,    107 ,   70  , 65 ,    100 ,   9 ,  9 ,     7,,,,
05/26/25,    118 ,   76  , 64 ,    113 ,   4 ,  4 ,     4,,,,
06/16/25,    159 ,   98  , 62 ,    159 ,  17 , 11 ,    13,,,,
07/07/25,    201 ,  128  , 64 ,    199 ,  15 ,  8 ,     9,,,,
07/28/25,    269 ,  166  , 62 ,    268 ,  16 ,  6 ,    14,,,,
08/18/25,    323 ,  205  , 63 ,    322 ,  63 , 20 ,     9,,,,
09/08/25,    324 ,  207  , 64 ,    319 ,  73 , 23 ,     8,,,,
09/29/25,    310 ,  231  , 75 ,    303 , 104 , 34 ,    15,,,,
10/20/25,    274 ,  181  , 66 ,    272 ,  77 , 28 ,     2,,,,
11/10/25,    328 ,  236  , 72 ,    326 , 109 , 33 ,     9,,,,
12/01/25,    320 ,  221  , 69 ,    317 ,  95 , 30 ,     8,,,,
12/22/25,    333 ,  250  , 75 ,    328 , 105 , 32 ,     6,,,,
01/12/26,    359 ,  246  , 69 ,    353 ,  96 , 27 ,     6,,,,
02/02/26,    378 ,  257  , 68 ,    373 , 107 , 29 ,     4,,,,
02/23/26,    371 ,  271  , 73 ,      0 ,   0 ,  0 ,     0 ,,,,
03/16/26,    250 ,  233  , 93 ,      0 ,   0 ,  0 ,     0 ,,,,
   Total ,   4208 , 2831  , 67 ,   4117 , 944 , 23 ,   137,,,,
"Date","Br Elig","Bred","Pct","Pg Elig","Preg","Pct","Aborts","","","",
08/30/24,     22 ,    9  , 41 ,     20 ,   5 , 25 ,     0,,,,
09/20/24,     21 ,   14  , 67 ,*    17 ,   2 , 12 ,     0,,,,
10/11/24,     18 ,    7  , 39 ,     17 ,   1 ,  6 ,     1,,,,
11/01/24,     23 ,   16  , 70 ,*    20 ,   4 , 20 ,     2,,,,
11/22/24,     28 ,   15  , 54 ,     27 ,   2 ,  7 ,     1,,,,
12/13/24,     32 ,   15  , 47 ,*    28 ,   2 ,  7 ,     0,,,,
01/03/25,     29 ,   20  , 69 ,*    25 ,   2 ,  8 ,     0,,,,
01/24/25,     34 ,   12  , 35 ,     32 ,   1 ,  3 ,     0,,,,
02/14/25,     37 ,   26  , 70 ,     35 ,   3 ,  9 ,     0,,,,
03/07/25,     35 ,   11  , 31 ,     35 ,   1 ,  3 ,     0,,,,
03/28/25,     42 ,   26  , 62 ,     40 ,   4 , 10 ,     3,,,,
04/18/25,     51 ,   22  , 43 ,     50 ,   9 , 18 ,     7,,,,
