"PEN","PCT","Count","Total","95% CI",
        1 , 56 ,   15 ,   27 ,037-72,
        2 , 63 ,   24 ,   38 ,047-77,
        5 , 68 ,   17 ,   25 ,048-83,
        6 , 33 ,    2 ,    6 ,   -  ,
        7 , 33 ,    6 ,   18 ,   -  ,
        8 , 76 ,   16 ,   21 ,055-89,
Total     , 59 ,   80 ,  135 ,051-67,
"Date","Br Elig","Bred","Pct","Pg Elig","Preg","Pct","Aborts","","","",
01/06/25,     24 ,   11  , 46 ,*    21 ,   1 ,  5 ,     0,,,,
01/27/25,     25 ,   16  , 64 ,     23 ,   3 , 13 ,     0,,,,
02/17/25,     31 ,   18  , 58 ,     30 ,   2 ,  7 ,     0,,,,
03/10/25,     32 ,   13  , 41 ,     32 ,   0 ,  0 ,     0,,,,
03/31/25,     32 ,   20  , 62 ,     30 ,   2 ,  7 ,     1,,,,
04/21/25,     34 ,   22  , 65 ,     34 ,   7 , 21 ,     5,,,,
05/12/25,     46 ,   33  , 72 ,     45 ,   4 ,  9 ,     3,,,,
06/02/25,     72 ,   48  , 67 ,     72 ,   5 ,  7 ,     5,,,,
06/23/25,    114 ,   68  , 60 ,    113 ,   7 ,  6 ,     7,,,,
07/14/25,    149 ,   86  , 58 ,    148 ,   7 ,  5 ,     7,,,,
08/04/25,    182 ,  100  , 55 ,    180 ,   2 ,  1 ,     2,,,,
08/25/25,    279 ,  186  , 67 ,    277 ,  50 , 18 ,     3,,,,
09/15/25,    305 ,  190  , 62 ,    301 ,  53 , 18 ,     3,,,,
10/06/25,    363 ,  255  , 70 ,    360 ,  95 , 26 ,     6,,,,
10/27/25,    385 ,  246  , 64 ,    383 , 102 , 27 ,     2,,,,
11/17/25,    393 ,  285  , 73 ,    390 , 118 , 30 ,     5,,,,
12/08/25,    350 ,  225  , 64 ,    349 ,  91 , 26 ,     2,,,,
12/29/25,    351 ,  242  , 69 ,    348 ,  87 , 25 ,     4,,,,
01/19/26,    320 ,  193  , 60 ,    317 ,  68 , 21 ,     3,,,,
02/09/26,    278 ,  189  , 68 ,    274 ,  79 , 29 ,     0,,,,
03/02/26,    298 ,  209  , 70 ,      0 ,   0 ,  0 ,     0 ,,,,
03/23/26,    191 ,  159  , 83 ,      0 ,   0 ,  0 ,     0 ,,,,
   Total ,   3765 , 2446  , 65 ,   3727 , 783 , 21 ,    58,,,,
"Date","Br Elig","Bred","Pct","Pg Elig","Preg","Pct","Aborts","","","",
01/06/25,     54 ,   36  , 67 ,*    43 ,   6 , 14 ,     3,,,,
01/27/25,     51 ,   37  , 73 ,*    40 ,   7 , 18 ,     3,,,,
02/17/25,     58 ,   31  , 53 ,     54 ,   8 , 15 ,     3,,,,
03/10/25,     68 ,   36  , 53 ,     62 ,   6 , 10 ,     0,,,,
03/31/25,     80 ,   50  , 62 ,     78 ,  11 , 14 ,     3,,,,
04/21/25,     95 ,   62  , 65 ,     92 ,  18 , 20 ,    12,,,,
05/12/25,     94 ,   58  , 62 ,*    84 ,   3 ,  4 ,     3,,,,
06/02/25,    112 ,   70  , 62 ,    110 ,   7 ,  6 ,     3,,,,
06/23/25,    148 ,   79  , 53 ,    148 ,  12 ,  8 ,    10,,,,
07/14/25,    192 ,  126  , 66 ,    190 ,  16 ,  8 ,     9,,,,
08/04/25,    261 ,  154  , 59 ,    260 ,  16 ,  6 ,    15,,,,
08/25/25,    299 ,  198  , 66 ,    296 ,  57 , 19 ,     8,,,,
09/15/25,    295 ,  193  , 65 ,    292 ,  71 , 24 ,     9,,,,
10/06/25,    275 ,  201  , 73 ,    269 ,  87 , 32 ,    13,,,,
10/27/25,    261 ,  166  , 64 ,    259 ,  71 , 27 ,     4,,,,
11/17/25,    317 ,  222  , 70 ,    313 ,  99 , 32 ,     7,,,,
12/08/25,    314 ,  226  , 72 ,    311 ,  98 , 32 ,     7,,,,
12/29/25,    334 ,  255  , 76 ,    328 , 104 , 32 ,     8,,,,
01/19/26,    339 ,  203  , 60 ,    336 ,  92 , 27 ,     7,,,,
02/09/26,    362 ,  271  , 75 ,    358 , 100 , 28 ,     2,,,,
03/02/26,    395 ,  280  , 71 ,      0 ,   0 ,  0 ,     0 ,,,,
03/23/26,    213 ,  181  , 85 ,      0 ,   0 ,  0 ,     0 ,,,,
   Total ,   4009 , 2674  , 67 ,   3923 , 889 , 23 ,   129,,,,
"Date","Br Elig","Bred","Pct","Pg Elig","Preg","Pct","Aborts","","","",
09/06/24,     24 ,   12  , 50 ,     22 ,   5 , 23 ,     0,,,,
09/27/24,     20 ,   12  , 60 ,     15 ,   1 ,  7 ,     0,,,,
10/18/24,     21 ,    9  , 43 ,     21 ,   3 , 14 ,     2,,,,
11/08/24,     27 ,   17  , 63 ,*    24 ,   2 ,  8 ,     1,,,,
11/29/24,     31 ,   15  , 48 ,*    27 ,   4 , 15 ,     1,,,,
12/20/24,     28 ,   19  , 68 ,     26 ,   1 ,  4 ,     0,,,,
01/10/25,     32 ,   11  , 34 ,     29 ,   1 ,  3 ,     0,,,,
01/31/25,     39 ,   19  , 49 ,     36 ,   3 ,  8 ,     0,,,,
02/21/25,     35 ,   20  , 57 ,     34 ,   2 ,  6 ,     0,,,,
03/14/25,     37 ,   16  , 43 ,     37 ,   1 ,  3 ,     1,,,,
04/04/25,     43 ,   23  , 53 ,     41 ,   5 , 12 ,     4,,,,
04/25/25,     53 ,   23  , 43 ,     52 ,   7 , 13 ,     5,,,,
05/16/25,     80 ,   37  , 46 ,     79 ,   5 ,  6 ,     3,,,,
06/06/25,    107 ,   50  , 47 ,    107 ,   4 ,  4 ,     4,,,,
06/27/25,    151 ,   75  , 50 ,    150 ,   7 ,  5 ,     7,,,,
07/18/25,    197 ,   97  , 49 ,    196 ,   9 ,  5 ,     9,,,,
08/08/25,    295 ,  129  , 44 ,    293 ,   4 ,  1 ,     4,,,,
   Total ,   1220 ,  584  , 48 ,   1189 ,  64 ,  5 ,    41,,,,
"Date","Br Elig","Bred","Pct","Pg Elig","Preg","Pct","Aborts","","","",
09/06/24,     65 ,   28  , 43 ,     59 ,   4 ,  7 ,     3,,,,
09/27/24,     65 ,   37  , 57 ,*    51 ,   3 ,  6 ,     2,,,,
10/18/24,     63 ,   29  , 46 ,     61 ,   8 , 13 ,     1,,,,
11/08/24,     57 ,   35  , 61 ,     55 ,   9 , 16 ,     4,,,,
11/29/24,     55 ,   24  , 44 ,     53 ,   8 , 15 ,     5,,,,
12/20/24,     70 ,   33  , 47 ,     64 ,   6 ,  9 ,     2,,,,
01/10/25,     74 ,   41  , 55 ,*    62 ,   5 ,  8 ,     3,,,,
01/31/25,     86 ,   46  , 53 ,*    73 ,  11 , 15 ,     4,,,,
02/21/25,     87 ,   41  , 47 ,     83 ,   9 , 11 ,     4,,,,
03/14/25,    101 ,   48  , 48 ,     93 ,   8 ,  9 ,     2,,,,
04/04/25,    113 ,   65  , 58 ,    110 ,  13 , 12 ,     5,,,,
04/25/25,    117 ,   75  , 64 ,    113 ,  20 , 18 ,    14,,,,
05/16/25,    129 ,   63  , 49 ,    120 ,   3 ,  2 ,     3,,,,
06/06/25,    165 ,   89  , 54 ,    164 ,  11 ,  7 ,     7,,,,
06/27/25,    218 ,  102  , 47 ,    217 ,  14 ,  6 ,    11,,,,
07/18/25,    287 ,  166  , 58 ,    286 ,  21 ,  7 ,    15,,,,
08/08/25,    334 ,  173  , 52 ,    332 ,  18 ,  5 ,    17,,,,
   Total ,   2086 , 1095  , 52 ,   1996 , 171 ,  9 ,   102,,,,
"Technician","95% CI","%Conc","#Preg","#Open","Other","Abort","Total","%Tot","SPC",
Alberto              ,   -   ,    0 ,    0 ,    2 ,    1 ,    0 ,    3 ,   1 ,    ,
Carlos               ,025-46 ,   35 ,   25 ,   47 ,    0 ,    0 ,   72 ,  35 , 2.9,
Ivan                 ,039-62 ,   51 ,   35 ,   34 ,    0 ,    0 ,   69 ,  33 , 2.0,
Juan F               ,   -   ,   25 ,    1 ,    3 ,    0 ,    0 ,    4 ,   2 , 4.0,
Rosendo              ,023-47 ,   34 ,   19 ,   37 ,    2 ,    0 ,   58 ,  28 , 2.9,
OTHERS               ,   -   ,    0 ,    0 ,    0 ,    1 ,    0 ,    1 ,   0 ,    ,
TOTALS               ,033-46 ,   39 ,   80 ,  123 ,    4 ,    0 ,  207 , 100 , 2.5,
"Breeding Code","95% CI","%Conc","#Preg","#Open","Other","Abort","Total","%Tot","SPC",
Natural              ,027-57 ,   41 ,   16 ,   23 ,    2 ,    0 ,   41 ,  20 , 2.4,
Ovsynch              ,032-47 ,   39 ,   64 ,  100 ,    2 ,    0 ,  166 ,  80 , 2.6,
TOTALS               ,033-46 ,   39 ,   80 ,  123 ,    4 ,    0 ,  207 , 100 , 2.5,
"Bred Number","95% CI","%Conc","#Preg","#Open","Other","Abort","Total","%Tot","SPC",
                   1 ,024-44 ,   33 ,   28 ,   56 ,    0 ,    0 ,   84 ,  41 , 3.0,
                   2 ,027-51 ,   38 ,   23 ,   37 ,    1 ,    0 ,   61 ,  29 , 2.6,
                   3 ,030-62 ,   45 ,   15 ,   18 ,    0 ,    0 ,   33 ,  16 , 2.2,
                   4 ,   -   ,   46 ,    6 ,    7 ,    0 ,    0 ,   13 ,   6 , 2.2,
                   5 ,   -   ,   55 ,    6 ,    5 ,    1 ,    0 ,   12 ,   6 , 1.8,
                   6 ,   -   ,  100 ,    2 ,    0 ,    1 ,    0 ,    3 ,   1 , 1.0,
                   8 ,   -   ,    0 ,    0 ,    0 ,    1 ,    0 ,    1 ,   0 ,    ,
              TOTALS ,033-46 ,   39 ,   80 ,  123 ,    4 ,    0 ,  207 , 100 , 2.5,
"PEN","PCT","Count","Total","95% CI",
       13 , 59 ,   16 ,   27 ,041-75,
       14 , 50 ,    5 ,   10 ,   -  ,
       15 , 79 ,   15 ,   19 ,   -  ,
       16 , 27 ,    3 ,   11 ,   -  ,
       18 , 69 ,    9 ,   13 ,   -  ,
       19 , 73 ,    8 ,   11 ,   -  ,
Total     , 62 ,   56 ,   91 ,051-71,
