"PEN","PCT","Count","Total","95% CI",
        1 , 76 ,   13 ,   17 ,   -  ,
        2 , 51 ,   19 ,   37 ,036-67,
        5 , 43 ,    9 ,   21 ,024-63,
        6 , 50 ,    7 ,   14 ,   -  ,
        7 , 60 ,    9 ,   15 ,   -  ,
        8 , 55 ,   16 ,   29 ,038-72,
Total     , 55 ,   73 ,  133 ,046-63,
"Date","Br Elig","Bred","Pct","Pg Elig","Preg","Pct","Aborts","","","",
01/13/25,     20 ,    7  , 35 ,     19 ,   1 ,  5 ,     0,,,,
02/03/25,     23 ,   16  , 70 ,     21 ,   2 , 10 ,     0,,,,
02/24/25,     27 ,   12  , 44 ,     26 ,   1 ,  4 ,     0,,,,
03/17/25,     26 ,   18  , 69 ,     25 ,   0 ,  0 ,     0,,,,
04/07/25,     29 ,   17  , 59 ,     28 ,   4 , 14 ,     3,,,,
04/28/25,     27 ,   19  , 70 ,     25 ,   4 , 16 ,     1,,,,
05/19/25,     46 ,   27  , 59 ,     46 ,   4 ,  9 ,     4,,,,
06/09/25,     69 ,   40  , 58 ,     69 ,   3 ,  4 ,     3,,,,
06/30/25,    114 ,   62  , 54 ,    114 ,   7 ,  6 ,     7,,,,
07/21/25,    148 ,   86  , 58 ,    147 ,   5 ,  3 ,     5,,,,
08/11/25,    196 ,  120  , 61 ,    195 ,   4 ,  2 ,     4,,,,
09/01/25,    286 ,  178  , 62 ,    283 ,  43 , 15 ,     1,,,,
09/22/25,    310 ,  200  , 65 ,    306 ,  54 , 18 ,     2,,,,
10/13/25,    396 ,  277  , 70 ,    393 , 120 , 31 ,     9,,,,
11/03/25,    405 ,  283  , 70 ,    404 , 121 , 30 ,     4,,,,
11/24/25,    382 ,  268  , 70 ,    378 , 116 , 31 ,     6,,,,
12/15/25,    345 ,  228  , 66 ,    345 ,  85 , 25 ,     1,,,,
01/05/26,    353 ,  236  , 67 ,    349 ,  94 , 27 ,     9,,,,
01/26/26,    295 ,  175  , 59 ,    293 ,  70 , 24 ,     2,,,,
02/16/26,    285 ,  206  , 72 ,    280 ,  81 , 29 ,     1,,,,
03/09/26,    317 ,  210  , 66 ,      0 ,   0 ,  0 ,     0 ,,,,
03/30/26,    208 ,  162  , 78 ,      0 ,   0 ,  0 ,     0 ,,,,
   Total ,   3782 , 2475  , 65 ,   3746 , 819 , 22 ,    62,,,,
"Date","Br Elig","Bred","Pct","Pg Elig","Preg","Pct","Aborts","","","",
01/13/25,     46 ,   24  , 52 ,*    38 ,   5 , 13 ,     3,,,,
02/03/25,     51 ,   40  , 78 ,*    42 ,  10 , 24 ,     4,,,,
02/24/25,     54 ,   29  , 54 ,     51 ,   7 , 14 ,     3,,,,
03/17/25,     59 ,   35  , 59 ,*    53 ,   7 , 13 ,     3,,,,
04/07/25,     69 ,   43  , 62 ,     67 ,  13 , 19 ,     2,,,,
04/28/25,     66 ,   42  , 64 ,     61 ,   9 , 15 ,     6,,,,
05/19/25,     66 ,   41  , 62 ,*    59 ,   2 ,  3 ,     2,,,,
06/09/25,     88 ,   58  , 66 ,     88 ,   8 ,  9 ,     4,,,,
06/30/25,    126 ,   73  , 58 ,    125 ,  12 , 10 ,     7,,,,
07/21/25,    153 ,  105  , 69 ,    152 ,  14 ,  9 ,    10,,,,
08/11/25,    203 ,  119  , 59 ,    202 ,  13 ,  6 ,    13,,,,
09/01/25,    240 ,  156  , 65 ,    239 ,  47 , 20 ,     8,,,,
09/22/25,    234 ,  155  , 66 ,    230 ,  63 , 27 ,     7,,,,
10/13/25,    240 ,  163  , 68 ,    237 ,  57 , 24 ,     4,,,,
11/03/25,    276 ,  196  , 71 ,    276 ,  89 , 32 ,     6,,,,
11/24/25,    261 ,  171  , 66 ,    259 ,  74 , 29 ,     5,,,,
12/15/25,    287 ,  200  , 70 ,    283 ,  87 , 31 ,     8,,,,
01/05/26,    348 ,  249  , 72 ,    341 ,  98 , 29 ,     7,,,,
01/26/26,    345 ,  240  , 70 ,    342 , 106 , 31 ,     9,,,,
02/16/26,    361 ,  246  , 68 ,    358 ,  91 , 25 ,     0,,,,
03/09/26,    406 ,  318  , 78 ,      0 ,   0 ,  0 ,     0 ,,,,
03/30/26,    194 ,  172  , 89 ,      0 ,   0 ,  0 ,     0 ,,,,
