"PEN","PCT","Count","Total","95% CI",
        1 , 72 ,   13 ,   18 ,   -  ,
        2 , 58 ,   23 ,   40 ,042-71,
        3 ,  0 ,    0 ,    3 ,   -  ,
        4 ,  0 ,    0 ,    3 ,   -  ,
        5 , 56 ,    5 ,    9 ,   -  ,
        6 , 50 ,   11 ,   22 ,031-69,
        7 , 51 ,   22 ,   43 ,037-65,
        8 , 55 ,   17 ,   31 ,038-71,
Total     , 54 ,   91 ,  169 ,046-61,
"Date","Br Elig","Bred","Pct","Pg Elig","Preg","Pct","Aborts","","","",
01/13/25,     20 ,    7  , 35 ,     19 ,   1 ,  5 ,     0,,,,
02/03/25,     22 ,   15  , 68 ,     20 ,   2 , 10 ,     0,,,,
02/24/25,     26 ,   12  , 46 ,     25 ,   1 ,  4 ,     0,,,,
03/17/25,     25 ,   17  , 68 ,     24 ,   0 ,  0 ,     0,,,,
04/07/25,     28 ,   17  , 61 ,     27 ,   4 , 15 ,     3,,,,
04/28/25,     25 ,   17  , 68 ,     23 ,   4 , 17 ,     1,,,,
05/19/25,     44 ,   27  , 61 ,     44 ,   4 ,  9 ,     4,,,,
06/09/25,     63 ,   34  , 54 ,     63 ,   3 ,  5 ,     3,,,,
06/30/25,    102 ,   57  , 56 ,    102 ,   7 ,  7 ,     7,,,,
07/21/25,    128 ,   72  , 56 ,    127 ,   5 ,  4 ,     5,,,,
08/11/25,    174 ,  111  , 64 ,    173 ,   4 ,  2 ,     4,,,,
09/01/25,    244 ,  136  , 56 ,    241 ,   3 ,  1 ,     2,,,,
09/22/25,    307 ,  198  , 64 ,    303 ,  54 , 18 ,     2,,,,
10/13/25,    393 ,  276  , 70 ,    390 , 120 , 31 ,     9,,,,
11/03/25,    401 ,  279  , 70 ,    400 , 121 , 30 ,     4,,,,
11/24/25,    377 ,  265  , 70 ,    373 , 115 , 31 ,     6,,,,
12/15/25,    341 ,  225  , 66 ,    341 ,  84 , 25 ,     1,,,,
01/05/26,    351 ,  236  , 67 ,    347 ,  95 , 27 ,     9,,,,
