"PEN","PCT","Count","Total","95% CI",
        1 , 66 ,   23 ,   35 ,049-79,
        2 , 58 ,    7 ,   12 ,   -  ,
        5 , 48 ,   15 ,   31 ,032-65,
        6 , 55 ,   17 ,   31 ,038-71,
        7 , 53 ,    9 ,   17 ,   -  ,
        8 , 55 ,   16 ,   29 ,038-72,
Total     , 56 ,   87 ,  155 ,048-64,
"Date","Br Elig","Bred","Pct","Pg Elig","Preg","Pct","Aborts","","","",
01/20/25,     17 ,    8  , 47 ,     15 ,   1 ,  7 ,     0,,,,
02/10/25,     27 ,   19  , 70 ,     25 ,   3 , 12 ,     0,,,,
03/03/25,     26 ,    8  , 31 ,     26 ,   1 ,  4 ,     0,,,,
03/24/25,     25 ,   20  , 80 ,     23 ,   1 ,  4 ,     0,,,,
04/14/25,     28 ,   14  , 50 ,     28 ,   7 , 25 ,     5,,,,
05/05/25,     28 ,   22  , 79 ,     27 ,   1 ,  4 ,     0,,,,
05/26/25,     49 ,   33  , 67 ,     49 ,   4 ,  8 ,     4,,,,
06/16/25,     78 ,   42  , 54 ,     78 ,   6 ,  8 ,     6,,,,
07/07/25,    100 ,   52  , 52 ,    100 ,   4 ,  4 ,     4,,,,
07/28/25,    137 ,   78  , 57 ,    136 ,   6 ,  4 ,     6,,,,
08/18/25,    205 ,  123  , 60 ,    203 ,   5 ,  2 ,     5,,,,
09/08/25,    269 ,  163  , 61 ,    265 ,  12 ,  5 ,     3,,,,
09/29/25,    325 ,  192  , 59 ,    322 ,  66 , 20 ,     3,,,,
10/20/25,    400 ,  297  , 74 ,    397 , 132 , 33 ,     6,,,,
11/10/25,    396 ,  259  , 65 ,    396 , 111 , 28 ,     4,,,,
12/01/25,    374 ,  261  , 70 ,    370 , 111 , 30 ,     5,,,,
12/22/25,    346 ,  242  , 70 ,    345 ,  84 , 24 ,     1,,,,
01/12/26,    338 ,  201  , 59 ,    334 ,  82 , 25 ,     8,,,,
02/02/26,    271 ,  167  , 62 ,    269 ,  64 , 24 ,     4,,,,
02/23/26,    293 ,  209  , 71 ,    291 ,  83 , 29 ,     1,,,,
03/16/26,    324 ,  212  , 65 ,      0 ,   0 ,  0 ,     0 ,,,,
04/06/26,    223 ,  180  , 81 ,      0 ,   0 ,  0 ,     0 ,,,,
   Total ,   3732 , 2410  , 65 ,   3699 , 784 , 21 ,    65,,,,
"Date","Br Elig","Bred","Pct","Pg Elig","Preg","Pct","Aborts","","","",
01/20/25,     49 ,   31  , 63 ,*    37 ,   6 , 16 ,     2,,,,
02/10/25,     53 ,   34  , 64 ,*    47 ,   9 , 19 ,     3,,,,
03/03/25,     55 ,   33  , 60 ,*    49 ,   6 , 12 ,     1,,,,
03/24/25,     61 ,   37  , 61 ,     58 ,  11 , 19 ,     5,,,,
04/14/25,     66 ,   42  , 64 ,     63 ,  13 , 21 ,     5,,,,
05/05/25,     58 ,   37  , 64 ,*    51 ,   3 ,  6 ,     1,,,,
05/26/25,     63 ,   40  , 63 ,     58 ,   2 ,  3 ,     2,,,,
06/16/25,     85 ,   57  , 67 ,     85 ,  11 , 13 ,     7,,,,
07/07/25,    113 ,   70  , 62 ,    111 ,  11 , 10 ,     5,,,,
07/28/25,    142 ,   94  , 66 ,    141 ,  12 ,  9 ,    10,,,,
08/18/25,    177 ,  111  , 63 ,    177 ,   9 ,  5 ,     9,,,,
09/08/25,    223 ,  126  , 57 ,    220 ,  19 ,  9 ,    10,,,,
09/29/25,    261 ,  197  , 75 ,    257 ,  85 , 33 ,    14,,,,
10/20/25,    245 ,  167  , 68 ,    244 ,  69 , 28 ,     2,,,,
11/10/25,    293 ,  208  , 71 ,    291 ,  93 , 32 ,     7,,,,
12/01/25,    304 ,  215  , 71 ,    302 ,  89 , 29 ,     8,,,,
12/22/25,    320 ,  243  , 76 ,    316 , 107 , 34 ,     6,,,,
01/12/26,    337 ,  235  , 70 ,    332 ,  96 , 29 ,     7,,,,
02/02/26,    357 ,  245  , 69 ,    355 , 106 , 30 ,    10,,,,
02/23/26,    356 ,  261  , 73 ,    353 , 101 , 29 ,     3,,,,
03/16/26,    388 ,  268  , 69 ,      0 ,   0 ,  0 ,     0 ,,,,
04/06/26,    308 ,  267  , 87 ,      0 ,   0 ,  0 ,     0 ,,,,
   Total ,   3618 , 2483  , 69 ,   3547 , 858 , 24 ,   117,,,,
"Date","Br Elig","Bred","Pct","Pg Elig","Preg","Pct","Aborts","","","",
09/20/24,     20 ,   13  , 65 ,     16 ,   2 , 12 ,     0,,,,
10/11/24,     17 ,    6  , 35 ,     16 ,   0 ,  0 ,     0,,,,
11/01/24,     22 ,   16  , 73 ,*    19 ,   4 , 21 ,     2,,,,
11/22/24,     26 ,   13  , 50 ,     25 ,   1 ,  4 ,     0,,,,
12/13/24,     29 ,   15  , 52 ,*    25 ,   2 ,  8 ,     0,,,,
01/03/25,     26 ,   17  , 65 ,*    22 ,   2 ,  9 ,     0,,,,
01/24/25,     29 ,   10  , 34 ,     27 ,   1 ,  4 ,     0,,,,
02/14/25,     32 ,   22  , 69 ,     30 ,   3 , 10 ,     0,,,,
03/07/25,     27 ,    9  , 33 ,     27 ,   1 ,  4 ,     0,,,,
03/28/25,     32 ,   19  , 59 ,     30 ,   1 ,  3 ,     0,,,,
04/18/25,     41 ,   17  , 41 ,     40 ,   7 , 18 ,     5,,,,
05/09/25,     52 ,   30  , 58 ,     51 ,   4 ,  8 ,     3,,,,
05/30/25,     79 ,   36  , 46 ,     79 ,   3 ,  4 ,     3,,,,
06/20/25,    105 ,   54  , 51 ,    105 ,   7 ,  7 ,     7,,,,
07/11/25,    145 ,   65  , 45 ,    144 ,   5 ,  3 ,     5,,,,
08/01/25,    213 ,   99  , 46 ,    213 ,   7 ,  3 ,     7,,,,
08/22/25,    279 ,  145  , 52 ,    277 ,   6 ,  2 ,     6,,,,
   Total ,   1174 ,  586  , 50 ,   1146 ,  56 ,  5 ,    38,,,,
"Date","Br Elig","Bred","Pct","Pg Elig","Preg","Pct","Aborts","","","",
09/20/24,     63 ,   37  , 59 ,*    48 ,   2 ,  4 ,     2,,,,
10/11/24,     61 ,   21  , 34 ,     58 ,   4 ,  7 ,     0,,,,
11/01/24,     57 ,   36  , 63 ,     56 ,  11 , 20 ,     3,,,,
11/22/24,     52 ,   27  , 52 ,     50 ,   9 , 18 ,     4,,,,
12/13/24,     69 ,   27  , 39 ,     66 ,   6 ,  9 ,     4,,,,
01/03/25,     70 ,   44  , 63 ,*    56 ,   5 ,  9 ,     3,,,,
01/24/25,     72 ,   35  , 49 ,*    60 ,   7 , 12 ,     2,,,,
02/14/25,     81 ,   40  , 49 ,     76 ,  12 , 16 ,     4,,,,
03/07/25,     74 ,   36  , 49 ,*    66 ,   6 ,  9 ,     2,,,,
03/28/25,     80 ,   42  , 52 ,     77 ,  10 , 13 ,     4,,,,
04/18/25,     80 ,   50  , 62 ,     76 ,  17 , 22 ,     7,,,,
05/09/25,     76 ,   38  , 50 ,*    68 ,   2 ,  3 ,     2,,,,
05/30/25,     98 ,   48  , 49 ,     94 ,   5 ,  5 ,     2,,,,
06/20/25,    127 ,   63  , 50 ,    127 ,  11 ,  9 ,     9,,,,
07/11/25,    166 ,   85  , 51 ,    164 ,  18 , 11 ,    10,,,,
08/01/25,    204 ,  117  , 57 ,    203 ,  17 ,  8 ,    16,,,,
08/22/25,    238 ,  130  , 55 ,    237 ,   9 ,  4 ,     9,,,,
   Total ,   1668 ,  876  , 53 ,   1582 , 151 , 10 ,    83,,,,
"Technician","95% CI","%Conc","#Preg","#Open","Other","Abort","Total","%Tot","SPC",
Alberto              ,   -   ,  100 ,    1 ,    0 ,    0 ,    0 ,    1 ,   0 , 1.0,
Luis                 ,   -   ,    0 ,    0 ,    3 ,    0 ,    0 ,    3 ,   1 ,    ,
Carlos               ,041-64 ,   52 ,   36 ,   33 ,    0 ,    0 ,   69 ,  32 , 1.9,
Ivan                 ,030-51 ,   40 ,   31 ,   47 ,    2 ,    0 ,   80 ,  37 , 2.5,
Rosendo              ,018-40 ,   27 ,   17 ,   45 ,    1 ,    0 ,   63 ,  29 , 3.6,
TOTALS               ,034-47 ,   40 ,   85 ,  128 ,    3 ,    0 ,  216 , 100 , 2.5,
"Breeding Code","95% CI","%Conc","#Preg","#Open","Other","Abort","Total","%Tot","SPC",
