"PEN","PCT","Count","Total","95% CI",
        1 , 50 ,   21 ,   42 ,036-64,
        2 , 68 ,   30 ,   44 ,053-80,
        5 , 60 ,    3 ,    5 ,   -  ,
        6 , 40 ,    4 ,   10 ,   -  ,
        7 , 40 ,    8 ,   20 ,022-61,
        8 , 62 ,    8 ,   13 ,   -  ,
Total     , 55 ,   74 ,  134 ,047-63,
"Date","Br Elig","Bred","Pct","Pg Elig","Preg","Pct","Aborts","","","",
01/27/25,     21 ,   14  , 67 ,*    19 ,   3 , 16 ,     0,,,,
02/17/25,     26 ,   15  , 58 ,     25 ,   2 ,  8 ,     0,,,,
03/10/25,     26 ,   10  , 38 ,     26 ,   0 ,  0 ,     0,,,,
03/31/25,     25 ,   16  , 64 ,     23 ,   1 ,  4 ,     0,,,,
04/21/25,     26 ,   17  , 65 ,     26 ,   5 , 19 ,     3,,,,
05/12/25,     39 ,   29  , 74 ,     38 ,   4 , 11 ,     3,,,,
06/02/25,     57 ,   35  , 61 ,     57 ,   4 ,  7 ,     4,,,,
06/23/25,     92 ,   55  , 60 ,     92 ,   6 ,  7 ,     6,,,,
07/14/25,    118 ,   64  , 54 ,    117 ,   7 ,  6 ,     7,,,,
08/04/25,    137 ,   81  , 59 ,    136 ,   2 ,  1 ,     2,,,,
08/25/25,    216 ,  131  , 61 ,    214 ,   3 ,  1 ,     3,,,,
09/15/25,    269 ,  155  , 58 ,    265 ,  19 ,  7 ,     4,,,,
10/06/25,    358 ,  252  , 70 ,    355 ,  93 , 26 ,     6,,,,
10/27/25,    381 ,  243  , 64 ,    379 , 101 , 27 ,     2,,,,
11/17/25,    387 ,  281  , 73 ,    384 , 119 , 31 ,     5,,,,
12/08/25,    343 ,  221  , 64 ,    342 ,  90 , 26 ,     2,,,,
12/29/25,    345 ,  239  , 69 ,    342 ,  86 , 25 ,     4,,,,
01/19/26,    316 ,  192  , 61 ,    314 ,  68 , 22 ,     5,,,,
02/09/26,    276 ,  187  , 68 ,    273 ,  77 , 28 ,     2,,,,
03/02/26,    300 ,  209  , 70 ,    297 ,  82 , 28 ,     1,,,,
03/23/26,    314 ,  201  , 64 ,      0 ,   0 ,  0 ,     0 ,,,,
04/13/26,    205 ,  173  , 84 ,      0 ,   0 ,  0 ,     0 ,,,,
   Total ,   3758 , 2446  , 65 ,   3724 , 772 , 21 ,    59,,,,
"Date","Br Elig","Bred","Pct","Pg Elig","Preg","Pct","Aborts","","","",
01/27/25,     47 ,   36  , 77 ,*    36 ,   7 , 19 ,     3,,,,
02/17/25,     53 ,   26  , 49 ,     49 ,   7 , 14 ,     2,,,,
03/10/25,     57 ,   31  , 54 ,*    51 ,   5 , 10 ,     0,,,,
03/31/25,     60 ,   35  , 58 ,     58 ,  10 , 17 ,     2,,,,
04/21/25,     63 ,   42  , 67 ,     60 ,  13 , 22 ,     7,,,,
05/12/25,     59 ,   37  , 63 ,*    49 ,   1 ,  2 ,     1,,,,
06/02/25,     69 ,   42  , 61 ,     67 ,   6 ,  9 ,     2,,,,
06/23/25,     91 ,   50  , 55 ,     91 ,   9 , 10 ,     7,,,,
07/14/25,    114 ,   66  , 58 ,    112 ,  13 , 12 ,     6,,,,
08/04/25,    152 ,   98  , 64 ,    151 ,  13 ,  9 ,    12,,,,
08/25/25,    180 ,  116  , 64 ,    179 ,   7 ,  4 ,     7,,,,
09/15/25,    222 ,  135  , 61 ,    220 ,  28 , 13 ,    11,,,,
10/06/25,    247 ,  185  , 75 ,    244 ,  83 , 34 ,    10,,,,
10/27/25,    241 ,  153  , 63 ,    240 ,  66 , 28 ,     4,,,,
11/17/25,    305 ,  217  , 71 ,    302 ,  94 , 31 ,     7,,,,
12/08/25,    313 ,  227  , 73 ,    310 ,  99 , 32 ,     7,,,,
12/29/25,    328 ,  248  , 76 ,    323 , 106 , 33 ,     9,,,,
01/19/26,    327 ,  200  , 61 ,    324 ,  95 , 29 ,    10,,,,
02/09/26,    345 ,  260  , 75 ,    343 , 103 , 30 ,     9,,,,
03/02/26,    375 ,  267  , 71 ,    372 , 101 , 27 ,     3,,,,
03/23/26,    346 ,  232  , 67 ,      0 ,   0 ,  0 ,     0 ,,,,
04/13/26,    299 ,  249  , 83 ,      0 ,   0 ,  0 ,     0 ,,,,
   Total ,   3648 , 2471  , 68 ,   3581 , 866 , 24 ,   119,,,,
"Date","Br Elig","Bred","Pct","Pg Elig","Preg","Pct","Aborts","","","",
09/27/24,     19 ,   11  , 58 ,     14 ,   1 ,  7 ,     0,,,,
10/18/24,     20 ,    8  , 40 ,     20 ,   2 , 10 ,     1,,,,
11/08/24,     25 ,   16  , 64 ,*    22 ,   2 ,  9 ,     1,,,,
11/29/24,     29 ,   14  , 48 ,*    25 ,   3 , 12 ,     0,,,,
12/20/24,     25 ,   17  , 68 ,     23 ,   1 ,  4 ,     0,,,,
01/10/25,     28 ,    9  , 32 ,*    25 ,   1 ,  4 ,     0,,,,
01/31/25,     34 ,   17  , 50 ,     31 ,   3 , 10 ,     0,,,,
02/21/25,     29 ,   17  , 59 ,     28 ,   2 ,  7 ,     0,,,,
03/14/25,     28 ,   12  , 43 ,     28 ,   0 ,  0 ,     0,,,,
04/04/25,     32 ,   18  , 56 ,     30 ,   3 , 10 ,     2,,,,
04/25/25,     44 ,   16  , 36 ,     43 ,   5 , 12 ,     3,,,,
05/16/25,     66 ,   34  , 52 ,     65 ,   5 ,  8 ,     3,,,,
06/06/25,     87 ,   37  , 43 ,     87 ,   3 ,  3 ,     3,,,,
06/27/25,    119 ,   62  , 52 ,    119 ,   6 ,  5 ,     6,,,,
07/18/25,    158 ,   74  , 47 ,    157 ,   9 ,  6 ,     9,,,,
08/08/25,    229 ,  110  , 48 ,    228 ,   4 ,  2 ,     4,,,,
08/29/25,    282 ,  152  , 54 ,    280 ,   4 ,  1 ,     4,,,,
   Total ,   1254 ,  624  , 50 ,   1225 ,  54 ,  4 ,    36,,,,
"Date","Br Elig","Bred","Pct","Pg Elig","Preg","Pct","Aborts","","","",
09/27/24,     63 ,   36  , 57 ,*    49 ,   3 ,  6 ,     2,,,,
10/18/24,     61 ,   27  , 44 ,     59 ,   7 , 12 ,     0,,,,
11/08/24,     56 ,   35  , 62 ,     54 ,   9 , 17 ,     4,,,,
11/29/24,     54 ,   24  , 44 ,     52 ,   8 , 15 ,     5,,,,
12/20/24,     68 ,   32  , 47 ,     62 ,   6 , 10 ,     2,,,,
01/10/25,     70 ,   38  , 54 ,*    58 ,   5 ,  9 ,     3,,,,
01/31/25,     81 ,   45  , 56 ,*    68 ,  11 , 16 ,     4,,,,
02/21/25,     75 ,   33  , 44 ,     71 ,   8 , 11 ,     3,,,,
03/14/25,     80 ,   39  , 49 ,*    72 ,   7 , 10 ,     2,,,,
04/04/25,     78 ,   44  , 56 ,     75 ,  11 , 15 ,     3,,,,
04/25/25,     75 ,   46  , 61 ,     71 ,  13 , 18 ,     7,,,,
05/16/25,     79 ,   44  , 56 ,*    70 ,   1 ,  1 ,     1,,,,
06/06/25,    104 ,   48  , 46 ,    103 ,   8 ,  8 ,     4,,,,
06/27/25,    131 ,   71  , 54 ,    130 ,  11 ,  8 ,     8,,,,
07/18/25,    176 ,   93  , 53 ,    175 ,  18 , 10 ,    12,,,,
08/08/25,    205 ,  111  , 54 ,    204 ,  15 ,  7 ,    14,,,,
08/29/25,    229 ,  133  , 58 ,    228 ,  10 ,  4 ,    10,,,,
   Total ,   1685 ,  899  , 53 ,   1601 , 151 ,  9 ,    84,,,,
"Technician","95% CI","%Conc","#Preg","#Open","Other","Abort","Total","%Tot","SPC",
Alberto              ,   -   ,   50 ,    1 ,    1 ,    0 ,    0 ,    2 ,   1 , 2.0,
Carlos               ,033-57 ,   45 ,   29 ,   36 ,    0 ,    0 ,   65 ,  36 , 2.2,
Ivan                 ,025-48 ,   36 ,   21 ,   38 ,    2 ,    0 ,   61 ,  34 , 2.8,
Rosendo              ,031-57 ,   43 ,   22 ,   29 ,    1 ,    0 ,   52 ,  29 , 2.3,
TOTALS               ,034-49 ,   41 ,   73 ,  104 ,    3 ,    0 ,  180 , 100 , 2.4,
"Breeding Code","95% CI","%Conc","#Preg","#Open","Other","Abort","Total","%Tot","SPC",
Natural              ,020-47 ,   33 ,   14 ,   29 ,    2 ,    0 ,   45 ,  25 , 3.1,
Ovsynch              ,036-52 ,   44 ,   59 ,   75 ,    1 ,    0 ,  135 ,  75 , 2.3,
TOTALS               ,034-49 ,   41 ,   73 ,  104 ,    3 ,    0 ,  180 , 100 , 2.4,
"Bred Number","95% CI","%Conc","#Preg","#Open","Other","Abort","Total","%Tot","SPC",
                   1 ,037-59 ,   48 ,   37 ,   40 ,    0 ,    0 ,   77 ,  43 , 2.1,
                   2 ,017-46 ,   30 ,   11 ,   26 ,    0 ,    0 ,   37 ,  21 , 3.4,
                   3 ,026-56 ,   40 ,   14 ,   21 ,    0 ,    0 ,   35 ,  20 , 2.5,
                   4 ,   -   ,   39 ,    7 ,   11 ,    1 ,    0 ,   19 ,  11 , 2.6,
                   5 ,   -   ,   33 ,    3 ,    6 ,    0 ,    0 ,    9 ,   5 , 3.0,
                   6 ,   -   ,  100 ,    1 ,    0 ,    1 ,    0 ,    2 ,   1 , 1.0,
