"PEN","PCT","Count","Total","95% CI",
        1 , 44 ,    7 ,   16 ,   -  ,
        2 , 52 ,   12 ,   23 ,033-71,
        5 , 63 ,   17 ,   27 ,044-78,
        6 , 64 ,    7 ,   11 ,   -  ,
        7 , 50 ,    9 ,   18 ,   -  ,
        8 , 57 ,   13 ,   23 ,037-74,
Total     , 55 ,   65 ,  118 ,046-64,
"Date","Br Elig","Bred","Pct","Pg Elig","Preg","Pct","Aborts","","","",
02/10/25,     26 ,   18  , 69 ,     24 ,   3 , 12 ,     0,,,,
03/03/25,     25 ,    8  , 32 ,     25 ,   1 ,  4 ,     0,,,,
03/24/25,     24 ,   19  , 79 ,     22 ,   1 ,  5 ,     0,,,,
04/14/25,     26 ,   13  , 50 ,     26 ,   7 , 27 ,     5,,,,
05/05/25,     26 ,   21  , 81 ,     25 ,   1 ,  4 ,     0,,,,
05/26/25,     43 ,   28  , 65 ,     43 ,   4 ,  9 ,     4,,,,
06/16/25,     64 ,   35  , 55 ,     64 ,   5 ,  8 ,     5,,,,
07/07/25,     78 ,   39  , 50 ,     78 ,   2 ,  3 ,     2,,,,
07/28/25,    108 ,   63  , 58 ,    107 ,   5 ,  5 ,     5,,,,
08/18/25,    164 ,   97  , 59 ,    162 ,   5 ,  3 ,     5,,,,
09/08/25,    223 ,  138  , 62 ,    219 ,   3 ,  1 ,     3,,,,
09/29/25,    278 ,  146  , 53 ,    275 ,  21 ,  8 ,     5,,,,
10/20/25,    398 ,  295  , 74 ,    395 , 131 , 33 ,     7,,,,
11/10/25,    393 ,  257  , 65 ,    393 , 111 , 28 ,     4,,,,
12/01/25,    371 ,  260  , 70 ,    367 , 111 , 30 ,     5,,,,
12/22/25,    346 ,  240  , 69 ,    345 ,  82 , 24 ,     1,,,,
01/12/26,    339 ,  204  , 60 ,    336 ,  84 , 25 ,     9,,,,
02/02/26,    271 ,  165  , 61 ,    269 ,  63 , 23 ,     4,,,,
02/23/26,    294 ,  209  , 71 ,    292 ,  85 , 29 ,     4,,,,
03/16/26,    322 ,  210  , 65 ,    318 ,  96 , 30 ,     0,,,,
04/06/26,    279 ,  181  , 65 ,      0 ,   0 ,  0 ,     0 ,,,,
04/27/26,    263 ,  230  , 87 ,      0 ,   0 ,  0 ,     0 ,,,,
   Total ,   3819 , 2465  , 65 ,   3785 , 821 , 22 ,    68,,,,
"Date","Br Elig","Bred","Pct","Pg Elig","Preg","Pct","Aborts","","","",
02/10/25,     52 ,   34  , 65 ,*    46 ,   9 , 20 ,     3,,,,
03/03/25,     53 ,   31  , 58 ,*    47 ,   6 , 13 ,     1,,,,
03/24/25,     57 ,   34  , 60 ,     54 ,   8 , 15 ,     2,,,,
04/14/25,     62 ,   38  , 61 ,     59 ,  12 , 20 ,     4,,,,
05/05/25,     53 ,   36  , 68 ,*    46 ,   3 ,  7 ,     1,,,,
05/26/25,     51 ,   31  , 61 ,*    46 ,   1 ,  2 ,     1,,,,
06/16/25,     65 ,   43  , 66 ,     65 ,   9 , 14 ,     5,,,,
07/07/25,     83 ,   51  , 61 ,     81 ,   9 , 11 ,     3,,,,
07/28/25,    105 ,   72  , 69 ,    104 ,   9 ,  9 ,     7,,,,
08/18/25,    129 ,   79  , 61 ,    129 ,   9 ,  7 ,     9,,,,
09/08/25,    163 ,   97  , 60 ,    160 ,  11 ,  7 ,    11,,,,
09/29/25,    195 ,  136  , 70 ,    192 ,  31 , 16 ,    12,,,,
10/20/25,    234 ,  159  , 68 ,    233 ,  64 , 27 ,     2,,,,
11/10/25,    289 ,  206  , 71 ,    287 ,  94 , 33 ,     7,,,,
12/01/25,    296 ,  209  , 71 ,    294 ,  90 , 31 ,     8,,,,
12/22/25,    313 ,  239  , 76 ,    309 , 107 , 35 ,     6,,,,
01/12/26,    327 ,  228  , 70 ,    324 ,  95 , 29 ,     7,,,,
02/02/26,    348 ,  241  , 69 ,    346 , 106 , 31 ,    11,,,,
02/23/26,    344 ,  252  , 73 ,    341 ,  99 , 29 ,     7,,,,
03/16/26,    376 ,  261  , 69 ,    372 ,  93 , 25 ,     4,,,,
04/06/26,    352 ,  257  , 73 ,      0 ,   0 ,  0 ,     0 ,,,,
04/27/26,    242 ,  204  , 84 ,      0 ,   0 ,  0 ,     0 ,,,,
   Total ,   3595 , 2477  , 69 ,   3535 , 865 , 24 ,   111,,,,
"Date","Br Elig","Bred","Pct","Pg Elig","Preg","Pct","Aborts","","","",
10/11/24,     17 ,    6  , 35 ,     16 ,   0 ,  0 ,     0,,,,
11/01/24,     22 ,   16  , 73 ,*    19 ,   4 , 21 ,     2,,,,
11/22/24,     26 ,   13  , 50 ,     25 ,   1 ,  4 ,     0,,,,
12/13/24,     29 ,   15  , 52 ,*    25 ,   2 ,  8 ,     0,,,,
01/03/25,     26 ,   17  , 65 ,*    22 ,   2 ,  9 ,     0,,,,
01/24/25,     28 ,   10  , 36 ,     26 ,   1 ,  4 ,     0,,,,
02/14/25,     31 ,   21  , 68 ,     29 ,   3 , 10 ,     0,,,,
03/07/25,     26 ,    9  , 35 ,     26 ,   1 ,  4 ,     0,,,,
03/28/25,     30 ,   18  , 60 ,     28 ,   1 ,  4 ,     0,,,,
04/18/25,     38 ,   16  , 42 ,     37 ,   7 , 19 ,     5,,,,
05/09/25,     46 ,   28  , 61 ,     45 ,   4 ,  9 ,     3,,,,
05/30/25,     64 ,   30  , 47 ,     64 ,   3 ,  5 ,     3,,,,
06/20/25,     82 ,   44  , 54 ,     82 ,   5 ,  6 ,     5,,,,
07/11/25,    111 ,   49  , 44 ,    110 ,   3 ,  3 ,     3,,,,
08/01/25,    174 ,   81  , 47 ,    174 ,   6 ,  3 ,     6,,,,
08/22/25,    232 ,  118  , 51 ,    230 ,   6 ,  3 ,     6,,,,
09/12/25,    304 ,  167  , 55 ,    300 ,   6 ,  2 ,     6,,,,
   Total ,   1286 ,  658  , 51 ,   1258 ,  55 ,  4 ,    39,,,,
"Date","Br Elig","Bred","Pct","Pg Elig","Preg","Pct","Aborts","","","",
10/11/24,     61 ,   21  , 34 ,     58 ,   4 ,  7 ,     0,,,,
11/01/24,     57 ,   36  , 63 ,     56 ,  11 , 20 ,     3,,,,
11/22/24,     52 ,   27  , 52 ,     50 ,   9 , 18 ,     4,,,,
12/13/24,     68 ,   27  , 40 ,     65 ,   6 ,  9 ,     4,,,,
01/03/25,     69 ,   43  , 62 ,*    55 ,   5 ,  9 ,     3,,,,
01/24/25,     70 ,   34  , 49 ,*    58 ,   7 , 12 ,     2,,,,
02/14/25,     78 ,   39  , 50 ,     73 ,  11 , 15 ,     3,,,,
03/07/25,     70 ,   33  , 47 ,*    62 ,   5 ,  8 ,     1,,,,
03/28/25,     74 ,   40  , 54 ,     71 ,   8 , 11 ,     2,,,,
04/18/25,     73 ,   44  , 60 ,     69 ,  15 , 22 ,     5,,,,
05/09/25,     65 ,   35  , 54 ,*    57 ,   1 ,  2 ,     1,,,,
05/30/25,     76 ,   39  , 51 ,     72 ,   4 ,  6 ,     1,,,,
06/20/25,     95 ,   47  , 49 ,     95 ,   8 ,  8 ,     6,,,,
07/11/25,    127 ,   65  , 51 ,    125 ,  15 , 12 ,     7,,,,
08/01/25,    152 ,   89  , 59 ,    151 ,  15 , 10 ,    14,,,,
08/22/25,    175 ,   92  , 53 ,    174 ,   9 ,  5 ,     9,,,,
