"PEN","PCT","Count","Total","95% CI",
        1 , 53 ,    8 ,   15 ,   -  ,
        2 , 43 ,   10 ,   23 ,026-63,
        5 , 50 ,    8 ,   16 ,   -  ,
        6 , 29 ,    2 ,    7 ,   -  ,
        7 , 59 ,   19 ,   32 ,042-74,
        8 , 69 ,   11 ,   16 ,   -  ,
Total     , 53 ,   58 ,  109 ,044-62,
"Date","Br Elig","Bred","Pct","Pg Elig","Preg","Pct","Aborts","","","",
02/17/25,     25 ,   15  , 60 ,     24 ,   2 ,  8 ,     0,,,,
03/10/25,     25 ,    9  , 36 ,     25 ,   0 ,  0 ,     0,,,,
03/31/25,     24 ,   16  , 67 ,     22 ,   1 ,  5 ,     0,,,,
04/21/25,     23 ,   16  , 70 ,     23 ,   5 , 22 ,     3,,,,
05/12/25,     34 ,   26  , 76 ,     33 ,   4 , 12 ,     3,,,,
06/02/25,     49 ,   29  , 59 ,     49 ,   4 ,  8 ,     4,,,,
06/23/25,     73 ,   46  , 63 ,     73 ,   4 ,  5 ,     4,,,,
07/14/25,     90 ,   48  , 53 ,     89 ,   5 ,  6 ,     5,,,,
08/04/25,    105 ,   62  , 59 ,    104 ,   2 ,  2 ,     2,,,,
08/25/25,    170 ,  104  , 61 ,    168 ,   3 ,  2 ,     3,,,,
09/15/25,    217 ,  125  , 58 ,    213 ,   6 ,  3 ,     6,,,,
10/06/25,    300 ,  196  , 65 ,    297 ,  38 , 13 ,     6,,,,
10/27/25,    376 ,  239  , 64 ,    374 , 100 , 27 ,     2,,,,
11/17/25,    385 ,  279  , 72 ,    382 , 119 , 31 ,     5,,,,
12/08/25,    339 ,  217  , 64 ,    338 ,  89 , 26 ,     2,,,,
12/29/25,    342 ,  238  , 70 ,    340 ,  86 , 25 ,     4,,,,
01/19/26,    310 ,  186  , 60 ,    308 ,  67 , 22 ,     6,,,,
02/09/26,    270 ,  184  , 68 ,    267 ,  76 , 28 ,     4,,,,
03/02/26,    292 ,  201  , 69 ,    290 ,  84 , 29 ,     6,,,,
03/23/26,    303 ,  199  , 66 ,    299 ,  93 , 31 ,     1,,,,
