"PEN","PCT","Count","Total","95% CI",
        1 , 58 ,   14 ,   24 ,039-76,
        2 , 72 ,   13 ,   18 ,   -  ,
        5 , 47 ,    9 ,   19 ,   -  ,
        6 , 37 ,    7 ,   19 ,   -  ,
        7 , 61 ,   14 ,   23 ,041-78,
        8 , 29 ,    5 ,   17 ,   -  ,
Total     , 52 ,   62 ,  120 ,043-60,
"Date","Br Elig","Bred","Pct","Pg Elig","Preg","Pct","Aborts","","","",
02/24/25,     25 ,   12  , 48 ,     24 ,   1 ,  4 ,     0,,,,
03/17/25,     24 ,   16  , 67 ,     23 ,   0 ,  0 ,     0,,,,
04/07/25,     25 ,   15  , 60 ,     24 ,   4 , 17 ,     3,,,,
04/28/25,     22 ,   16  , 73 ,     20 ,   4 , 20 ,     1,,,,
05/19/25,     36 ,   21  , 58 ,     36 ,   4 , 11 ,     4,,,,
06/09/25,     46 ,   28  , 61 ,     46 ,   3 ,  7 ,     3,,,,
06/30/25,     71 ,   40  , 56 ,     71 ,   4 ,  6 ,     4,,,,
07/21/25,     91 ,   53  , 58 ,     90 ,   3 ,  3 ,     3,,,,
08/11/25,    122 ,   75  , 61 ,    121 ,   2 ,  2 ,     2,,,,
09/01/25,    174 ,   99  , 57 ,    171 ,   2 ,  1 ,     2,,,,
09/22/25,    220 ,  130  , 59 ,    216 ,   4 ,  2 ,     4,,,,
10/13/25,    311 ,  196  , 63 ,    308 ,  37 , 12 ,    10,,,,
11/03/25,    401 ,  278  , 69 ,    400 , 120 , 30 ,     4,,,,
11/24/25,    378 ,  266  , 70 ,    374 , 117 , 31 ,     6,,,,
12/15/25,    339 ,  224  , 66 ,    339 ,  84 , 25 ,     1,,,,
01/05/26,    348 ,  233  , 67 ,    345 ,  94 , 27 ,     9,,,,
01/26/26,    299 ,  181  , 61 ,    298 ,  75 , 25 ,     7,,,,
02/16/26,    286 ,  205  , 72 ,    282 ,  80 , 28 ,     4,,,,
03/09/26,    319 ,  207  , 65 ,    317 ,  92 , 29 ,     7,,,,
03/30/26,    313 ,  214  , 68 ,    309 ,  92 , 30 ,     2,,,,
04/20/26,    281 ,  197  , 70 ,      0 ,   0 ,  0 ,     0 ,,,,
05/11/26,    304 ,  267  , 88 ,      0 ,   0 ,  0 ,     0 ,,,,
   Total ,   3850 , 2509  , 65 ,   3814 , 822 , 22 ,    76,,,,
"Date","Br Elig","Bred","Pct","Pg Elig","Preg","Pct","Aborts","","","",
02/24/25,     52 ,   27  , 52 ,     49 ,   6 , 12 ,     2,,,,
03/17/25,     54 ,   32  , 59 ,*    48 ,   4 ,  8 ,     1,,,,
04/07/25,     59 ,   35  , 59 ,     57 ,  13 , 23 ,     2,,,,
04/28/25,     48 ,   32  , 67 ,*    43 ,   5 , 12 ,     2,,,,
05/19/25,     43 ,   26  , 60 ,*    36 ,   0 ,  0 ,     0,,,,
06/09/25,     47 ,   30  , 64 ,     47 ,   5 , 11 ,     1,,,,
06/30/25,     66 ,   38  , 58 ,     65 ,   8 , 12 ,     3,,,,
07/21/25,     79 ,   53  , 67 ,     78 ,  12 , 15 ,     8,,,,
08/11/25,    105 ,   63  , 60 ,    104 ,  11 , 11 ,    11,,,,
09/01/25,    120 ,   73  , 61 ,    119 ,   7 ,  6 ,     7,,,,
09/22/25,    140 ,   86  , 61 ,    137 ,  10 ,  7 ,     8,,,,
10/13/25,    186 ,  115  , 62 ,    184 ,  17 ,  9 ,     5,,,,
11/03/25,    268 ,  190  , 71 ,    268 ,  84 , 31 ,     5,,,,
11/24/25,    264 ,  172  , 65 ,    262 ,  79 , 30 ,     5,,,,
12/15/25,    292 ,  208  , 71 ,    289 ,  89 , 31 ,     9,,,,
01/05/26,    347 ,  251  , 72 ,    342 , 101 , 30 ,     6,,,,
01/26/26,    342 ,  239  , 70 ,    341 , 113 , 33 ,    13,,,,
02/16/26,    347 ,  235  , 68 ,    344 ,  87 , 25 ,     8,,,,
03/09/26,    392 ,  302  , 77 ,    388 , 113 , 29 ,     6,,,,
03/30/26,    328 ,  210  , 64 ,    324 ,  80 , 25 ,     0,,,,
04/20/26,    322 ,  238  , 74 ,      0 ,   0 ,  0 ,     0 ,,,,
05/11/26,    213 ,  173  , 81 ,      0 ,   0 ,  0 ,     0 ,,,,
