"PEN","PCT","Count","Total","95% CI",
        1 , 74 ,   17 ,   23 ,054-87,
        2 , 64 ,   16 ,   25 ,045-80,
        5 , 53 ,    9 ,   17 ,   -  ,
        6 , 50 ,   11 ,   22 ,031-69,
        7 , 44 ,    8 ,   18 ,   -  ,
        8 , 58 ,   11 ,   19 ,   -  ,
Total     , 58 ,   72 ,  124 ,049-66,
"Date","Br Elig","Bred","Pct","Pg Elig","Preg","Pct","Aborts","","","",
03/10/25,     25 ,    9  , 36 ,     25 ,   0 ,  0 ,     0,,,,
03/31/25,     24 ,   16  , 67 ,     22 ,   1 ,  5 ,     0,,,,
04/21/25,     23 ,   16  , 70 ,     23 ,   5 , 22 ,     3,,,,
05/12/25,     30 ,   23  , 77 ,     29 ,   4 , 14 ,     3,,,,
06/02/25,     40 ,   24  , 60 ,     40 ,   3 ,  8 ,     3,,,,
06/23/25,     60 ,   39  , 65 ,     60 ,   4 ,  7 ,     4,,,,
07/14/25,     70 ,   36  , 51 ,     69 ,   3 ,  4 ,     3,,,,
08/04/25,     80 ,   45  , 56 ,     79 ,   1 ,  1 ,     1,,,,
08/25/25,    132 ,   80  , 61 ,    130 ,   3 ,  2 ,     3,,,,
09/15/25,    165 ,   92  , 56 ,    161 ,   6 ,  4 ,     6,,,,
10/06/25,    222 ,  152  , 68 ,    219 ,   8 ,  4 ,     6,,,,
10/27/25,    301 ,  166  , 55 ,    299 ,  29 , 10 ,     5,,,,
11/17/25,    381 ,  275  , 72 ,    378 , 116 , 31 ,     5,,,,
12/08/25,    341 ,  219  , 64 ,    340 ,  89 , 26 ,     2,,,,
12/29/25,    344 ,  240  , 70 ,    342 ,  87 , 25 ,     4,,,,
01/19/26,    313 ,  188  , 60 ,    311 ,  68 , 22 ,     7,,,,
02/09/26,    275 ,  187  , 68 ,    272 ,  76 , 28 ,     5,,,,
03/02/26,    297 ,  206  , 69 ,    295 ,  85 , 29 ,     6,,,,
03/23/26,    310 ,  203  , 65 ,    309 ,  98 , 32 ,     3,,,,
04/13/26,    258 ,  172  , 67 ,    256 ,  68 , 27 ,     0,,,,
05/04/26,    343 ,  242  , 71 ,      0 ,   0 ,  0 ,     0 ,,,,
05/25/26,    291 ,  251  , 86 ,      0 ,   0 ,  0 ,     0 ,,,,
   Total ,   3691 , 2388  , 65 ,   3659 , 754 , 21 ,    69,,,,
"Date","Br Elig","Bred","Pct","Pg Elig","Preg","Pct","Aborts","","","",
03/10/25,     54 ,   29  , 54 ,*    48 ,   4 ,  8 ,     0,,,,
03/31/25,     57 ,   33  , 58 ,     55 ,  10 , 18 ,     2,,,,
04/21/25,     53 ,   36  , 68 ,     50 ,  11 , 22 ,     5,,,,
05/12/25,     44 ,   27  , 61 ,*    34 ,   0 ,  0 ,     0,,,,
06/02/25,     48 ,   30  , 62 ,     46 ,   5 , 11 ,     1,,,,
06/23/25,     54 ,   29  , 54 ,     54 ,   6 , 11 ,     4,,,,
07/14/25,     67 ,   40  , 60 ,     65 ,  10 , 15 ,     3,,,,
08/04/25,     83 ,   55  , 66 ,     82 ,   8 , 10 ,     7,,,,
08/25/25,     94 ,   58  , 62 ,     93 ,   6 ,  6 ,     6,,,,
09/15/25,    114 ,   69  , 61 ,    113 ,  13 , 12 ,    12,,,,
10/06/25,    136 ,   97  , 71 ,    134 ,  10 ,  7 ,     8,,,,
10/27/25,    187 ,  102  , 55 ,    186 ,  18 , 10 ,     5,,,,
11/17/25,    296 ,  211  , 71 ,    293 ,  93 , 32 ,     6,,,,
12/08/25,    314 ,  230  , 73 ,    312 ,  97 , 31 ,     8,,,,
12/29/25,    333 ,  255  , 77 ,    329 , 111 , 34 ,     8,,,,
01/19/26,    329 ,  205  , 62 ,    327 ,  98 , 30 ,     9,,,,
02/09/26,    346 ,  258  , 75 ,    344 , 106 , 31 ,    10,,,,
03/02/26,    372 ,  267  , 72 ,    369 , 103 , 28 ,    11,,,,
03/23/26,    341 ,  229  , 67 ,    338 ,  82 , 24 ,     4,,,,
04/13/26,    337 ,  244  , 72 ,    334 ,  94 , 28 ,     1,,,,
05/04/26,    283 ,  188  , 66 ,      0 ,   0 ,  0 ,     0 ,,,,
05/25/26,    227 ,  195  , 86 ,      0 ,   0 ,  0 ,     0 ,,,,
   Total ,   3659 , 2504  , 68 ,   3606 , 885 , 25 ,   110,,,,
"Date","Br Elig","Bred","Pct","Pg Elig","Preg","Pct","Aborts","","","",
11/08/24,     25 ,   16  , 64 ,*    22 ,   2 ,  9 ,     1,,,,
11/29/24,     29 ,   14  , 48 ,*    25 ,   3 , 12 ,     0,,,,
12/20/24,     25 ,   17  , 68 ,     23 ,   1 ,  4 ,     0,,,,
01/10/25,     28 ,    9  , 32 ,*    25 ,   1 ,  4 ,     0,,,,
01/31/25,     33 ,   16  , 48 ,     30 ,   3 , 10 ,     0,,,,
02/21/25,     28 ,   17  , 61 ,     27 ,   2 ,  7 ,     0,,,,
03/14/25,     26 ,   11  , 42 ,     26 ,   0 ,  0 ,     0,,,,
04/04/25,     28 ,   15  , 54 ,     26 ,   2 ,  8 ,     1,,,,
04/25/25,     35 ,   15  , 43 ,     34 ,   5 , 15 ,     3,,,,
05/16/25,     48 ,   26  , 54 ,     47 ,   5 , 11 ,     3,,,,
06/06/25,     55 ,   24  , 44 ,     55 ,   2 ,  4 ,     2,,,,
06/27/25,     71 ,   42  , 59 ,     71 ,   4 ,  6 ,     4,,,,
07/18/25,     94 ,   43  , 46 ,     93 ,   4 ,  4 ,     4,,,,
08/08/25,    140 ,   64  , 46 ,    139 ,   1 ,  1 ,     1,,,,
08/29/25,    175 ,   96  , 55 ,    173 ,   4 ,  2 ,     4,,,,
09/19/25,    259 ,  102  , 39 ,    255 ,   8 ,  3 ,     8,,,,
10/10/25,    344 ,  194  , 56 ,    341 ,  13 ,  4 ,    11,,,,
   Total ,   1443 ,  721  , 50 ,   1412 ,  60 ,  4 ,    42,,,,
"Date","Br Elig","Bred","Pct","Pg Elig","Preg","Pct","Aborts","","","",
11/08/24,     56 ,   35  , 62 ,     54 ,   9 , 17 ,     4,,,,
11/29/24,     54 ,   24  , 44 ,     52 ,   8 , 15 ,     5,,,,
12/20/24,     67 ,   32  , 48 ,     61 ,   6 , 10 ,     2,,,,
01/10/25,     69 ,   37  , 54 ,*    57 ,   5 ,  9 ,     3,,,,
01/31/25,     79 ,   44  , 56 ,*    66 ,  11 , 17 ,     4,,,,
02/21/25,     70 ,   31  , 44 ,     66 ,   7 , 11 ,     2,,,,
03/14/25,     73 ,   35  , 48 ,*    65 ,   4 ,  6 ,     0,,,,
04/04/25,     68 ,   39  , 57 ,     65 ,  11 , 17 ,     3,,,,
04/25/25,     60 ,   39  , 65 ,     56 ,  11 , 20 ,     5,,,,
05/16/25,     57 ,   32  , 56 ,*    48 ,   0 ,  0 ,     0,,,,
06/06/25,     62 ,   32  , 52 ,     61 ,   6 , 10 ,     2,,,,
06/27/25,     76 ,   39  , 51 ,     75 ,   7 ,  9 ,     4,,,,
07/18/25,    104 ,   53  , 51 ,    103 ,  14 , 14 ,     8,,,,
08/08/25,    110 ,   61  , 55 ,    109 ,   9 ,  8 ,     8,,,,
08/29/25,    122 ,   67  , 55 ,    121 ,   9 ,  7 ,     9,,,,
09/19/25,    166 ,   77  , 46 ,    164 ,  13 ,  8 ,    12,,,,
10/10/25,    229 ,  124  , 54 ,    226 ,  11 ,  5 ,     9,,,,
