"PEN","PCT","Count","Total","95% CI",
        1 , 69 ,    9 ,   13 ,   -  ,
        2 , 48 ,   13 ,   27 ,031-66,
        5 , 46 ,   11 ,   24 ,028-65,
        6 , 46 ,   16 ,   35 ,030-62,
        7 , 67 ,   12 ,   18 ,   -  ,
        8 , 82 ,   14 ,   17 ,   -  ,
Total     , 56 ,   75 ,  134 ,048-64,
"Date","Br Elig","Bred","Pct","Pg Elig","Preg","Pct","Aborts","","","",
03/17/25,     24 ,   16  , 67 ,     23 ,   0 ,  0 ,     0,,,,
04/07/25,     23 ,   13  , 57 ,     22 ,   2 ,  9 ,     1,,,,
04/28/25,     22 ,   16  , 73 ,     20 ,   4 , 20 ,     1,,,,
05/19/25,     32 ,   20  , 62 ,     32 ,   4 , 12 ,     4,,,,
06/09/25,     41 ,   25  , 61 ,     41 ,   3 ,  7 ,     3,,,,
06/30/25,     57 ,   34  , 60 ,     57 ,   3 ,  5 ,     3,,,,
07/21/25,     71 ,   41  , 58 ,     70 ,   2 ,  3 ,     2,,,,
08/11/25,     94 ,   60  , 64 ,     93 ,   1 ,  1 ,     1,,,,
09/01/25,    135 ,   75  , 56 ,    132 ,   2 ,  2 ,     2,,,,
09/22/25,    158 ,   92  , 58 ,    154 ,   4 ,  3 ,     4,,,,
10/13/25,    238 ,  152  , 64 ,    235 ,  10 ,  4 ,     9,,,,
11/03/25,    319 ,  197  , 62 ,    318 ,  40 , 13 ,     7,,,,
11/24/25,    376 ,  264  , 70 ,    372 , 115 , 31 ,     6,,,,
12/15/25,    339 ,  224  , 66 ,    339 ,  84 , 25 ,     1,,,,
01/05/26,    347 ,  232  , 67 ,    344 ,  94 , 27 ,     9,,,,
01/26/26,    299 ,  181  , 61 ,    298 ,  75 , 25 ,     7,,,,
02/16/26,    286 ,  204  , 71 ,    282 ,  79 , 28 ,     5,,,,
03/09/26,    321 ,  209  , 65 ,    319 ,  93 , 29 ,     8,,,,
03/30/26,    314 ,  215  , 68 ,    313 ,  92 , 29 ,     3,,,,
04/20/26,    285 ,  198  , 69 ,    283 ,  76 , 27 ,     0,,,,
05/11/26,    371 ,  268  , 72 ,      0 ,   0 ,  0 ,     0 ,,,,
06/01/26,    264 ,  203  , 77 ,      0 ,   0 ,  0 ,     0 ,,,,
   Total ,   3781 , 2468  , 65 ,   3747 , 783 , 21 ,    76,,,,
"Date","Br Elig","Bred","Pct","Pg Elig","Preg","Pct","Aborts","","","",
03/17/25,     54 ,   32  , 59 ,*    48 ,   4 ,  8 ,     1,,,,
04/07/25,     59 ,   35  , 59 ,     57 ,  13 , 23 ,     2,,,,
04/28/25,     47 ,   32  , 68 ,*    42 ,   5 , 12 ,     2,,,,
05/19/25,     41 ,   25  , 61 ,*    34 ,   0 ,  0 ,     0,,,,
06/09/25,     42 ,   27  , 64 ,     42 ,   5 , 12 ,     1,,,,
06/30/25,     56 ,   32  , 57 ,     55 ,   8 , 15 ,     3,,,,
07/21/25,     66 ,   44  , 67 ,     65 ,   9 , 14 ,     5,,,,
08/11/25,     85 ,   49  , 58 ,     84 ,   9 , 11 ,     9,,,,
09/01/25,     96 ,   60  , 62 ,     95 ,   7 ,  7 ,     7,,,,
09/22/25,    109 ,   65  , 60 ,    106 ,   9 ,  8 ,     7,,,,
10/13/25,    150 ,   95  , 63 ,    148 ,   6 ,  4 ,     6,,,,
11/03/25,    219 ,  138  , 63 ,    219 ,  30 , 14 ,     5,,,,
11/24/25,    269 ,  175  , 65 ,    267 ,  79 , 30 ,     5,,,,
12/15/25,    297 ,  213  , 72 ,    294 ,  90 , 31 ,     8,,,,
01/05/26,    352 ,  255  , 72 ,    347 , 101 , 29 ,     6,,,,
01/26/26,    350 ,  242  , 69 ,    349 , 115 , 33 ,    12,,,,
02/16/26,    355 ,  243  , 68 ,    352 ,  92 , 26 ,    11,,,,
03/09/26,    394 ,  304  , 77 ,    390 , 114 , 29 ,     8,,,,
03/30/26,    326 ,  209  , 64 ,    322 ,  82 , 25 ,     3,,,,
04/20/26,    318 ,  237  , 75 ,    312 ,  90 , 29 ,     2,,,,
05/11/26,    262 ,  172  , 66 ,      0 ,   0 ,  0 ,     0 ,,,,
06/01/26,    210 ,  183  , 87 ,      0 ,   0 ,  0 ,     0 ,,,,
   Total ,   3685 , 2512  , 68 ,   3628 , 868 , 24 ,   103,,,,
"Date","Br Elig","Bred","Pct","Pg Elig","Preg","Pct","Aborts","","","",
11/15/24,     28 ,   16  , 57 ,     26 ,   1 ,  4 ,     1,,,,
12/06/24,     31 ,   16  , 52 ,*    27 ,   3 , 11 ,     0,,,,
12/27/24,     27 ,   17  , 63 ,*    22 ,   1 ,  5 ,     0,,,,
01/17/25,     26 ,    6  , 23 ,     25 ,   2 ,  8 ,     0,,,,
02/07/25,     31 ,   19  , 61 ,     29 ,   3 , 10 ,     0,,,,
02/28/25,     27 ,   11  , 41 ,     26 ,   1 ,  4 ,     0,,,,
03/21/25,     25 ,   16  , 64 ,     24 ,   0 ,  0 ,     0,,,,
04/11/25,     28 ,   14  , 50 ,     27 ,   4 , 15 ,     2,,,,
05/02/25,     38 ,   20  , 53 ,     36 ,   3 ,  8 ,     1,,,,
05/23/25,     46 ,   24  , 52 ,     46 ,   4 ,  9 ,     4,,,,
06/13/25,     54 ,   30  , 56 ,     54 ,   6 , 11 ,     4,,,,
07/04/25,     72 ,   32  , 44 ,     72 ,   1 ,  1 ,     1,,,,
07/25/25,    101 ,   46  , 46 ,    100 ,   3 ,  3 ,     3,,,,
08/15/25,    145 ,   73  , 50 ,    144 ,   3 ,  2 ,     3,,,,
09/05/25,    167 ,   95  , 57 ,    163 ,   5 ,  3 ,     5,,,,
09/26/25,    259 ,  111  , 43 ,    256 ,   6 ,  2 ,     5,,,,
10/17/25,    355 ,  179  , 50 ,    352 ,   9 ,  3 ,     8,,,,
   Total ,   1460 ,  725  , 50 ,   1429 ,  55 ,  4 ,    37,,,,
"Date","Br Elig","Bred","Pct","Pg Elig","Preg","Pct","Aborts","","","",
11/15/24,     53 ,   24  , 45 ,     51 ,   5 , 10 ,     2,,,,
12/06/24,     59 ,   24  , 41 ,     56 ,   7 , 12 ,     4,,,,
12/27/24,     68 ,   42  , 62 ,*    57 ,   6 , 11 ,     2,,,,
01/17/25,     72 ,   28  , 39 ,*    61 ,   6 , 10 ,     2,,,,
02/07/25,     76 ,   45  , 59 ,*    67 ,  10 , 15 ,     3,,,,
