"PEN","PCT","Count","Total","95% CI",
        1 , 50 ,   10 ,   20 ,030-70,
        2 , 62 ,   10 ,   16 ,   -  ,
        5 , 39 ,   15 ,   38 ,026-55,
        6 , 59 ,   16 ,   27 ,041-75,
        7 , 33 ,    6 ,   18 ,   -  ,
        8 , 52 ,   14 ,   27 ,034-69,
Total     , 49 ,   71 ,  146 ,041-57,
"Date","Br Elig","Bred","Pct","Pg Elig","Preg","Pct","Aborts","","","",
03/24/25,     24 ,   19  , 79 ,     22 ,   1 ,  5 ,     0,,,,
04/14/25,     23 ,   10  , 43 ,     23 ,   5 , 22 ,     3,,,,
05/05/25,     23 ,   19  , 83 ,     22 ,   1 ,  5 ,     0,,,,
05/26/25,     32 ,   21  , 66 ,     32 ,   3 ,  9 ,     3,,,,
06/16/25,     47 ,   25  , 53 ,     47 ,   4 ,  9 ,     4,,,,
07/07/25,     58 ,   31  , 53 ,     58 ,   1 ,  2 ,     1,,,,
07/28/25,     74 ,   43  , 58 ,     73 ,   3 ,  4 ,     3,,,,
08/18/25,    103 ,   61  , 59 ,    101 ,   2 ,  2 ,     2,,,,
09/08/25,    138 ,   83  , 60 ,    134 ,   3 ,  2 ,     3,,,,
09/29/25,    158 ,   92  , 58 ,    155 ,   6 ,  4 ,     5,,,,
10/20/25,    237 ,  153  , 65 ,    234 ,  10 ,  4 ,     9,,,,
11/10/25,    315 ,  180  , 57 ,    315 ,  35 , 11 ,     6,,,,
12/01/25,    370 ,  258  , 70 ,    366 , 111 , 30 ,     6,,,,
12/22/25,    345 ,  242  , 70 ,    344 ,  84 , 24 ,     1,,,,
01/12/26,    334 ,  199  , 60 ,    331 ,  83 , 25 ,    10,,,,
02/02/26,    276 ,  172  , 62 ,    274 ,  66 , 24 ,     5,,,,
02/23/26,    293 ,  204  , 70 ,    291 ,  82 , 28 ,     5,,,,
03/16/26,    326 ,  216  , 66 ,    324 , 104 , 32 ,     5,,,,
04/06/26,    281 ,  184  , 65 ,    280 ,  78 , 28 ,     5,,,,
04/27/26,    315 ,  226  , 72 ,    313 ,  81 , 26 ,     0,,,,
