"PEN","PCT","Count","Total","95% CI",
        1 , 64 ,   21 ,   33 ,047-78,
        2 , 62 ,   28 ,   45 ,048-75,
        5 , 50 ,   12 ,   24 ,031-69,
        6 , 38 ,   10 ,   26 ,022-57,
        7 , 60 ,    6 ,   10 ,   -  ,
        8 , 50 ,    8 ,   16 ,   -  ,
Total     , 55 ,   85 ,  154 ,047-63,
"Date","Br Elig","Bred","Pct","Pg Elig","Preg","Pct","Aborts","","","",
03/31/25,     23 ,   16  , 70 ,     21 ,   1 ,  5 ,     0,,,,
04/21/25,     22 ,   15  , 68 ,     22 ,   5 , 23 ,     3,,,,
05/12/25,     27 ,   23  , 85 ,     26 ,   4 , 15 ,     3,,,,
06/02/25,     36 ,   21  , 58 ,     36 ,   2 ,  6 ,     2,,,,
06/23/25,     53 ,   35  , 66 ,     53 ,   3 ,  6 ,     3,,,,
07/14/25,     61 ,   32  , 52 ,     60 ,   1 ,  2 ,     1,,,,
08/04/25,     71 ,   40  , 56 ,     70 ,   1 ,  1 ,     1,,,,
08/25/25,    107 ,   61  , 57 ,    105 ,   2 ,  2 ,     2,,,,
09/15/25,    135 ,   77  , 57 ,    131 ,   6 ,  5 ,     5,,,,
10/06/25,    169 ,  110  , 65 ,    166 ,   6 ,  4 ,     5,,,,
10/27/25,    235 ,  131  , 56 ,    233 ,   6 ,  3 ,     5,,,,
11/17/25,    308 ,  201  , 65 ,    305 ,  42 , 14 ,     6,,,,
12/08/25,    341 ,  219  , 64 ,    340 ,  88 , 26 ,     2,,,,
12/29/25,    345 ,  240  , 70 ,    343 ,  87 , 25 ,     4,,,,
01/19/26,    313 ,  188  , 60 ,    311 ,  68 , 22 ,     7,,,,
02/09/26,    277 ,  188  , 68 ,    274 ,  76 , 28 ,     6,,,,
03/02/26,    298 ,  206  , 69 ,    296 ,  86 , 29 ,     7,,,,
03/23/26,    310 ,  205  , 66 ,    309 ,  98 , 32 ,     3,,,,
04/13/26,    259 ,  171  , 66 ,    257 ,  67 , 26 ,     3,,,,
05/04/26,    344 ,  243  , 71 ,    340 ,  88 , 26 ,     1,,,,
05/25/26,    382 ,  251  , 66 ,      0 ,   0 ,  0 ,     0 ,,,,
06/15/26,    275 ,  219  , 80 ,      0 ,   0 ,  0 ,     0 ,,,,
   Total ,   3734 , 2422  , 65 ,   3698 , 737 , 20 ,    69,,,,
"Date","Br Elig","Bred","Pct","Pg Elig","Preg","Pct","Aborts","","","",
03/31/25,     57 ,   33  , 58 ,     55 ,  10 , 18 ,     2,,,,
04/21/25,     53 ,   36  , 68 ,     50 ,  11 , 22 ,     5,,,,
05/12/25,     44 ,   27  , 61 ,*    34 ,   0 ,  0 ,     0,,,,
06/02/25,     46 ,   28  , 61 ,     44 ,   5 , 11 ,     1,,,,
06/23/25,     48 ,   25  , 52 ,     48 ,   5 , 10 ,     3,,,,
07/14/25,     59 ,   36  , 61 ,     57 ,  10 , 18 ,     3,,,,
08/04/25,     71 ,   48  , 68 ,     70 ,   7 , 10 ,     6,,,,
08/25/25,     79 ,   50  , 63 ,     78 ,   7 ,  9 ,     7,,,,
09/15/25,     95 ,   59  , 62 ,     94 ,  11 , 12 ,    10,,,,
10/06/25,    110 ,   77  , 70 ,    108 ,  10 ,  9 ,     8,,,,
10/27/25,    155 ,   88  , 57 ,    154 ,   6 ,  4 ,     5,,,,
11/17/25,    253 ,  163  , 64 ,    250 ,  37 , 15 ,     6,,,,
12/08/25,    338 ,  246  , 73 ,    336 , 103 , 31 ,     8,,,,
12/29/25,    354 ,  267  , 75 ,    350 , 117 , 33 ,     8,,,,
01/19/26,    350 ,  220  , 63 ,    348 , 106 , 30 ,     9,,,,
02/09/26,    364 ,  269  , 74 ,    362 , 108 , 30 ,    10,,,,
03/02/26,    387 ,  279  , 72 ,    384 , 110 , 29 ,    11,,,,
03/23/26,    349 ,  234  , 67 ,    346 ,  85 , 25 ,     4,,,,
04/13/26,    341 ,  245  , 72 ,    338 ,  95 , 28 ,     4,,,,
05/04/26,    286 ,  192  , 67 ,    280 ,  92 , 33 ,     3,,,,
