"PEN","PCT","Count","Total","95% CI",
        1 , 52 ,   13 ,   25 ,033-70,
        2 , 52 ,   13 ,   25 ,033-70,
        5 , 50 ,   10 ,   20 ,030-70,
        6 , 44 ,    7 ,   16 ,   -  ,
        7 , 64 ,    9 ,   14 ,   -  ,
        8 , 56 ,    9 ,   16 ,   -  ,
Total     , 53 ,   61 ,  116 ,044-61,
"Date","Br Elig","Bred","Pct","Pg Elig","Preg","Pct","Aborts","","","",
04/07/25,     21 ,   12  , 57 ,     20 ,   2 , 10 ,     1,,,,
04/28/25,     20 ,   15  , 75 ,     18 ,   4 , 22 ,     1,,,,
05/19/25,     27 ,   18  , 67 ,     27 ,   3 , 11 ,     3,,,,
06/09/25,     36 ,   21  , 58 ,     36 ,   2 ,  6 ,     2,,,,
06/30/25,     52 ,   29  , 56 ,     52 ,   1 ,  2 ,     1,,,,
07/21/25,     65 ,   38  , 58 ,     64 ,   2 ,  3 ,     2,,,,
08/11/25,     84 ,   53  , 63 ,     83 ,   1 ,  1 ,     1,,,,
09/01/25,    111 ,   62  , 56 ,    108 ,   2 ,  2 ,     2,,,,
09/22/25,    125 ,   74  , 59 ,    121 ,   4 ,  3 ,     3,,,,
10/13/25,    170 ,  105  , 62 ,    167 ,  10 ,  6 ,     9,,,,
11/03/25,    233 ,  146  , 63 ,    232 ,   8 ,  3 ,     8,,,,
11/24/25,    302 ,  192  , 64 ,    298 ,  43 , 14 ,     8,,,,
12/15/25,    337 ,  222  , 66 ,    337 ,  82 , 24 ,     1,,,,
01/05/26,    347 ,  232  , 67 ,    344 ,  94 , 27 ,     9,,,,
01/26/26,    299 ,  181  , 61 ,    298 ,  75 , 25 ,     7,,,,
02/16/26,    286 ,  204  , 71 ,    282 ,  79 , 28 ,     6,,,,
03/09/26,    320 ,  208  , 65 ,    318 ,  92 , 29 ,     8,,,,
03/30/26,    312 ,  213  , 68 ,    311 ,  92 , 30 ,     4,,,,
04/20/26,    284 ,  199  , 70 ,    282 ,  76 , 27 ,     2,,,,
05/11/26,    369 ,  265  , 72 ,    362 ,  95 , 26 ,     1,,,,
06/01/26,    350 ,  203  , 58 ,      0 ,   0 ,  0 ,     0 ,,,,
06/22/26,    249 ,  212  , 85 ,      0 ,   0 ,  0 ,     0 ,,,,
   Total ,   3800 , 2489  , 66 ,   3760 , 767 , 20 ,    79,,,,
"Date","Br Elig","Bred","Pct","Pg Elig","Preg","Pct","Aborts","","","",
04/07/25,     57 ,   34  , 60 ,     55 ,  13 , 24 ,     2,,,,
04/28/25,     45 ,   31  , 69 ,*    40 ,   5 , 12 ,     2,,,,
05/19/25,     36 ,   22  , 61 ,*    29 ,   0 ,  0 ,     0,,,,
06/09/25,     33 ,   20  , 61 ,     33 ,   5 , 15 ,     1,,,,
06/30/25,     41 ,   22  , 54 ,     40 ,   7 , 18 ,     2,,,,
