"PEN","PCT","Count","Total","95% CI",
        1 , 43 ,   10 ,   23 ,026-63,
        2 , 65 ,   11 ,   17 ,   -  ,
        5 , 35 ,    8 ,   23 ,019-55,
        6 , 62 ,   10 ,   16 ,   -  ,
        7 , 43 ,    6 ,   14 ,   -  ,
        8 , 52 ,   12 ,   23 ,033-71,
Total     , 49 ,   57 ,  116 ,040-58,
"Date","Br Elig","Bred","Pct","Pg Elig","Preg","Pct","Aborts","","","",
04/21/25,     21 ,   15  , 71 ,     21 ,   5 , 24 ,     3,,,,
05/12/25,     25 ,   21  , 84 ,     24 ,   3 , 12 ,     2,,,,
06/02/25,     33 ,   19  , 58 ,     33 ,   2 ,  6 ,     2,,,,
06/23/25,     44 ,   29  , 66 ,     44 ,   3 ,  7 ,     3,,,,
07/14/25,     52 ,   27  , 52 ,     51 ,   0 ,  0 ,     0,,,,
08/04/25,     61 ,   32  , 52 ,     60 ,   1 ,  2 ,     1,,,,
08/25/25,     85 ,   48  , 56 ,     83 ,   2 ,  2 ,     2,,,,
09/15/25,    102 ,   58  , 57 ,     98 ,   6 ,  6 ,     5,,,,
10/06/25,    123 ,   82  , 67 ,    120 ,   6 ,  5 ,     5,,,,
10/27/25,    162 ,   87  , 54 ,    160 ,   6 ,  4 ,     5,,,,
11/17/25,    224 ,  150  , 67 ,    221 ,   9 ,  4 ,     8,,,,
12/08/25,    272 ,  154  , 57 ,    271 ,  24 ,  9 ,     2,,,,
12/29/25,    339 ,  234  , 69 ,    337 ,  82 , 24 ,     5,,,,
01/19/26,    313 ,  188  , 60 ,    311 ,  68 , 22 ,     7,,,,
02/09/26,    277 ,  188  , 68 ,    274 ,  76 , 28 ,     6,,,,
03/02/26,    299 ,  207  , 69 ,    297 ,  86 , 29 ,     7,,,,
03/23/26,    310 ,  203  , 65 ,    309 ,  98 , 32 ,     3,,,,
04/13/26,    256 ,  172  , 67 ,    254 ,  68 , 27 ,     3,,,,
05/04/26,    339 ,  240  , 71 ,    335 ,  88 , 26 ,     8,,,,
05/25/26,    375 ,  247  , 66 ,    369 ,  91 , 25 ,     2,,,,
06/15/26,    338 ,  215  , 64 ,      0 ,   0 ,  0 ,     0 ,,,,
07/06/26,    225 ,  190  , 84 ,      0 ,   0 ,  0 ,     0 ,,,,
   Total ,   3712 , 2401  , 65 ,   3672 , 724 , 20 ,    79,,,,
"Date","Br Elig","Bred","Pct","Pg Elig","Preg","Pct","Aborts","","","",
04/21/25,     51 ,   35  , 69 ,     48 ,  11 , 23 ,     5,,,,
05/12/25,     40 ,   23  , 58 ,*    30 ,   0 ,  0 ,     0,,,,
06/02/25,     37 ,   23  , 62 ,     35 ,   5 , 14 ,     1,,,,
06/23/25,     37 ,   17  , 46 ,     37 ,   4 , 11 ,     2,,,,
07/14/25,     44 ,   28  , 64 ,     42 ,   9 , 21 ,     2,,,,
08/04/25,     46 ,   29  , 63 ,     45 ,   6 , 13 ,     5,,,,
08/25/25,     47 ,   28  , 60 ,     46 ,   5 , 11 ,     5,,,,
09/15/25,     53 ,   32  , 60 ,     53 ,   9 , 17 ,     8,,,,
10/06/25,     66 ,   48  , 73 ,     64 ,   9 , 14 ,     7,,,,
10/27/25,     96 ,   57  , 59 ,     95 ,   5 ,  5 ,     4,,,,
11/17/25,    176 ,  115  , 65 ,    173 ,   9 ,  5 ,     6,,,,
12/08/25,    247 ,  162  , 66 ,    245 ,  30 , 12 ,     9,,,,
12/29/25,    331 ,  250  , 76 ,    327 , 110 , 34 ,     9,,,,
01/19/26,    332 ,  209  , 63 ,    330 , 103 , 31 ,    10,,,,
02/09/26,    350 ,  261  , 75 ,    348 , 106 , 30 ,     9,,,,
03/02/26,    372 ,  270  , 73 ,    369 , 108 , 29 ,    12,,,,
03/23/26,    336 ,  227  , 68 ,    333 ,  85 , 26 ,     4,,,,
04/13/26,    328 ,  236  , 72 ,    325 ,  93 , 29 ,     4,,,,
05/04/26,    277 ,  188  , 68 ,    271 ,  89 , 33 ,    13,,,,
05/25/26,    262 ,  191  , 73 ,    260 ,  74 , 28 ,     3,,,,
06/15/26,    262 ,  173  , 66 ,      0 ,   0 ,  0 ,     0 ,,,,
07/06/26,    213 ,  179  , 84 ,      0 ,   0 ,  0 ,     0 ,,,,
   Total ,   3528 , 2429  , 69 ,   3476 , 870 , 25 ,   118,,,,
"Date","Br Elig","Bred","Pct","Pg Elig","Preg","Pct","Aborts","","","",
12/20/24,     25 ,   17  , 68 ,     23 ,   1 ,  4 ,     0,,,,
01/10/25,     28 ,    9  , 32 ,*    25 ,   1 ,  4 ,     0,,,,
01/31/25,     32 ,   16  , 50 ,     29 ,   3 , 10 ,     0,,,,
02/21/25,     27 ,   16  , 59 ,     26 ,   2 ,  8 ,     0,,,,
03/14/25,     23 ,   11  , 48 ,     23 ,   0 ,  0 ,     0,,,,
04/04/25,     25 ,   13  , 52 ,     23 ,   1 ,  4 ,     0,,,,
04/25/25,     32 ,   14  , 44 ,     31 ,   5 , 16 ,     3,,,,
05/16/25,     39 ,   24  , 62 ,     38 ,   4 , 11 ,     2,,,,
06/06/25,     41 ,   19  , 46 ,     41 ,   1 ,  2 ,     1,,,,
06/27/25,     53 ,   30  , 57 ,     53 ,   3 ,  6 ,     3,,,,
07/18/25,     68 ,   34  , 50 ,     67 ,   0 ,  0 ,     0,,,,
08/08/25,     94 ,   45  , 48 ,     93 ,   1 ,  1 ,     1,,,,
08/29/25,    111 ,   60  , 54 ,    109 ,   3 ,  3 ,     3,,,,
09/19/25,    153 ,   61  , 40 ,    149 ,   8 ,  5 ,     7,,,,
10/10/25,    192 ,  103  , 54 ,    189 ,  11 ,  6 ,    10,,,,
10/31/25,    247 ,  116  , 47 ,    245 ,   7 ,  3 ,     5,,,,
11/21/25,    295 ,  178  , 60 ,    292 ,  10 ,  3 ,     9,,,,
   Total ,   1485 ,  766  , 52 ,   1456 ,  61 ,  4 ,    44,,,,
"Date","Br Elig","Bred","Pct","Pg Elig","Preg","Pct","Aborts","","","",
12/20/24,     67 ,   32  , 48 ,     61 ,   6 , 10 ,     2,,,,
01/10/25,     69 ,   37  , 54 ,*    57 ,   5 ,  9 ,     3,,,,
01/31/25,     79 ,   44  , 56 ,*    66 ,  11 , 17 ,     4,,,,
02/21/25,     70 ,   31  , 44 ,     66 ,   7 , 11 ,     2,,,,
03/14/25,     71 ,   34  , 48 ,*    63 ,   4 ,  6 ,     0,,,,
04/04/25,     66 ,   38  , 58 ,     63 ,  11 , 17 ,     3,,,,
04/25/25,     56 ,   38  , 68 ,     52 ,  11 , 21 ,     5,,,,
05/16/25,     46 ,   26  , 57 ,*    37 ,   0 ,  0 ,     0,,,,
06/06/25,     44 ,   24  , 55 ,     43 ,   6 , 14 ,     2,,,,
06/27/25,     47 ,   22  , 47 ,     46 ,   5 , 11 ,     2,,,,
07/18/25,     58 ,   31  , 53 ,     57 ,   9 , 16 ,     3,,,,
08/08/25,     57 ,   30  , 53 ,     56 ,   6 , 11 ,     5,,,,
08/29/25,     58 ,   31  , 53 ,     57 ,   6 , 11 ,     6,,,,
09/19/25,     88 ,   36  , 41 ,     87 ,   9 , 10 ,     8,,,,
10/10/25,    126 ,   65  , 52 ,    123 ,   9 ,  7 ,     7,,,,
10/31/25,    189 ,   96  , 51 ,    189 ,  10 ,  5 ,     7,,,,
11/21/25,    271 ,  130  , 48 ,    267 ,  10 ,  4 ,     7,,,,
   Total ,   1462 ,  745  , 51 ,   1390 , 125 ,  9 ,    66,,,,
"Technician","95% CI","%Conc","#Preg","#Open","Other","Abort","Total","%Tot","SPC",
Carlos               ,021-44 ,   31 ,   18 ,   40 ,    1 ,    0 ,   59 ,  40 , 3.2,
Ivan                 ,036-59 ,   47 ,   34 ,   38 ,    0 ,    0 ,   72 ,  48 , 2.1,
Juan F               ,   -   ,    0 ,    0 ,    1 ,    0 ,    0 ,    1 ,   1 ,    ,
Rosendo              ,   -   ,   27 ,    4 ,   11 ,    0 ,    0 ,   15 ,  10 , 3.8,
Rick                 ,   -   ,    0 ,    0 ,    2 ,    0 ,    0 ,    2 ,   1 ,    ,
TOTALS               ,030-46 ,   38 ,   56 ,   92 ,    1 ,    0 ,  149 , 100 , 2.6,
"Breeding Code","95% CI","%Conc","#Preg","#Open","Other","Abort","Total","%Tot","SPC",
Natural              ,030-59 ,   44 ,   19 ,   24 ,    0 ,    0 ,   43 ,  29 , 2.3,
Ovsynch              ,027-46 ,   36 ,   37 ,   66 ,    1 ,    0 ,  104 ,  70 , 2.8,
OTHERS               ,   -   ,    0 ,    0 ,    2 ,    0 ,    0 ,    2 ,   1 ,    ,
TOTALS               ,030-46 ,   38 ,   56 ,   92 ,    1 ,    0 ,  149 , 100 , 2.6,
"Bred Number","95% CI","%Conc","#Preg","#Open","Other","Abort","Total","%Tot","SPC",
                   1 ,015-39 ,   25 ,   11 ,   33 ,    0 ,    0 ,   44 ,  30 , 4.0,
                   2 ,026-52 ,   38 ,   19 ,   31 ,    0 ,    0 ,   50 ,  34 , 2.6,
                   3 ,028-65 ,   46 ,   11 ,   13 ,    0 ,    0 ,   24 ,  16 , 2.2,
                   4 ,   -   ,   33 ,    5 ,   10 ,    0 ,    0 ,   15 ,  10 , 3.0,
                   5 ,   -   ,   75 ,    6 ,    2 ,    0 ,    0 ,    8 ,   5 , 1.3,
                   6 ,   -   ,   75 ,    3 ,    1 ,    1 ,    0 ,    5 ,   3 , 1.3,
                   7 ,   -   ,   33 ,    1 ,    2 ,    0 ,    0 ,    3 ,   2 , 3.0,
              TOTALS ,030-46 ,   38 ,   56 ,   92 ,    1 ,    0 ,  149 , 100 , 2.6,
"PEN","PCT","Count","Total","95% CI",
       13 , 42 ,    8 ,   19 ,   -  ,
       14 , 46 ,   13 ,   28 ,030-64,
       15 , 50 ,   11 ,   22 ,031-69,
       16 , 43 ,    6 ,   14 ,   -  ,
       18 , 45 ,   10 ,   22 ,027-65,
       19 , 54 ,   14 ,   26 ,035-71,
Total     , 47 ,   62 ,  131 ,039-56,
"Date","Br Elig","Bred","Pct","Pg Elig","Preg","Pct","Aborts","","","",
04/21/25,     11 ,    7  , 64 ,     11 ,   1 ,  9 ,     1,,,,
05/12/25,     13 ,    8  , 62 ,     13 ,   0 ,  0 ,     0,,,,
06/02/25,     14 ,    6  , 43 ,     14 ,   1 ,  7 ,     1,,,,
06/23/25,     13 ,    7  , 54 ,     13 ,   0 ,  0 ,     0,,,,
07/14/25,     24 ,   16  , 67 ,     24 ,   1 ,  4 ,     0,,,,
08/04/25,     31 ,   16  , 52 ,     31 ,   2 ,  6 ,     1,,,,
08/25/25,     35 ,   20  , 57 ,     35 ,   2 ,  6 ,     1,,,,
09/15/25,     46 ,   32  , 70 ,     45 ,   6 , 13 ,     5,,,,
10/06/25,     53 ,   25  , 47 ,     52 ,   2 ,  4 ,     2,,,,
10/27/25,     51 ,   32  , 63 ,     49 ,   1 ,  2 ,     1,,,,
11/17/25,     49 ,   30  , 61 ,     49 ,   3 ,  6 ,     2,,,,
12/08/25,     66 ,   46  , 70 ,     66 ,  10 , 15 ,     2,,,,
12/29/25,     68 ,   35  , 51 ,     68 ,  15 , 22 ,     1,,,,
01/19/26,     94 ,   77  , 82 ,     92 ,  26 , 28 ,     4,,,,
02/09/26,    115 ,   66  , 57 ,    115 ,  20 , 17 ,     2,,,,
03/02/26,    120 ,   59  , 49 ,    120 ,  23 , 19 ,     4,,,,
03/23/26,    113 ,   89  , 79 ,    113 ,  39 , 35 ,     0,,,,
