"PEN","PCT","Count","Total","95% CI",
        1 , 62 ,    8 ,   13 ,   -  ,
        2 , 28 ,    5 ,   18 ,   -  ,
        5 , 36 ,    8 ,   22 ,020-57,
        6 , 67 ,   12 ,   18 ,   -  ,
        7 , 50 ,    8 ,   16 ,   -  ,
        8 , 62 ,   13 ,   21 ,041-79,
Total     , 50 ,   54 ,  108 ,041-59,
"Date","Br Elig","Bred","Pct","Pg Elig","Preg","Pct","Aborts","","","",
05/12/25,     22 ,   20  , 91 ,     21 ,   3 , 14 ,     2,,,,
06/02/25,     27 ,   15  , 56 ,     27 ,   2 ,  7 ,     2,,,,
06/23/25,     35 ,   24  , 69 ,     35 ,   3 ,  9 ,     3,,,,
07/14/25,     41 ,   23  , 56 ,     40 ,   0 ,  0 ,     0,,,,
08/04/25,     46 ,   22  , 48 ,     45 ,   1 ,  2 ,     1,,,,
08/25/25,     66 ,   37  , 56 ,     65 ,   2 ,  3 ,     2,,,,
09/15/25,     82 ,   48  , 59 ,     78 ,   6 ,  8 ,     5,,,,
10/06/25,     94 ,   60  , 64 ,     91 ,   5 ,  5 ,     4,,,,
10/27/25,    127 ,   72  , 57 ,    125 ,   6 ,  5 ,     5,,,,
11/17/25,    172 ,  116  , 67 ,    169 ,   8 ,  5 ,     7,,,,
12/08/25,    214 ,  117  , 55 ,    213 ,   3 ,  1 ,     2,,,,
12/29/25,    288 ,  184  , 64 ,    287 ,  34 , 12 ,     5,,,,
01/19/26,    310 ,  188  , 61 ,    308 ,  67 , 22 ,     7,,,,
02/09/26,    275 ,  186  , 68 ,    272 ,  75 , 28 ,     6,,,,
03/02/26,    297 ,  208  , 70 ,    295 ,  86 , 29 ,     7,,,,
03/23/26,    307 ,  201  , 65 ,    306 ,  96 , 31 ,     3,,,,
04/13/26,    256 ,  172  , 67 ,    254 ,  67 , 26 ,     4,,,,
05/04/26,    340 ,  241  , 71 ,    336 ,  88 , 26 ,     8,,,,
05/25/26,    375 ,  247  , 66 ,    369 ,  90 , 24 ,     9,,,,
06/15/26,    338 ,  215  , 64 ,    337 ,  89 , 26 ,     0,,,,
07/06/26,    282 ,  191  , 68 ,      0 ,   0 ,  0 ,     0 ,,,,
07/27/26,    246 ,  206  , 84 ,      0 ,   0 ,  0 ,     0 ,,,,
   Total ,   3712 , 2396  , 65 ,   3673 , 731 , 20 ,    82,,,,
"Date","Br Elig","Bred","Pct","Pg Elig","Preg","Pct","Aborts","","","",
05/12/25,     39 ,   22  , 56 ,*    29 ,   0 ,  0 ,     0,,,,
06/02/25,     36 ,   23  , 64 ,     34 ,   5 , 15 ,     1,,,,
06/23/25,     34 ,   15  , 44 ,     34 ,   4 , 12 ,     2,,,,
07/14/25,     37 ,   24  , 65 ,     35 ,   7 , 20 ,     0,,,,
08/04/25,     36 ,   21  , 58 ,     35 ,   4 , 11 ,     3,,,,
08/25/25,     34 ,   21  , 62 ,     33 ,   4 , 12 ,     4,,,,
09/15/25,     37 ,   24  , 65 ,     37 ,   8 , 22 ,     7,,,,
10/06/25,     47 ,   34  , 72 ,     46 ,   8 , 17 ,     6,,,,
10/27/25,     69 ,   41  , 59 ,     68 ,   5 ,  7 ,     4,,,,
11/17/25,    129 ,   85  , 66 ,    126 ,   9 ,  7 ,     6,,,,
12/08/25,    180 ,  115  , 64 ,    178 ,  12 ,  7 ,     9,,,,
12/29/25,    244 ,  166  , 68 ,    240 ,  31 , 13 ,     8,,,,
01/19/26,    323 ,  205  , 63 ,    321 , 102 , 32 ,    10,,,,
02/09/26,    341 ,  254  , 74 ,    341 , 104 , 30 ,     8,,,,
03/02/26,    365 ,  267  , 73 ,    363 , 108 , 30 ,    12,,,,
03/23/26,    329 ,  221  , 67 ,    326 ,  85 , 26 ,     5,,,,
04/13/26,    322 ,  232  , 72 ,    319 ,  92 , 29 ,     4,,,,
05/04/26,    272 ,  184  , 68 ,    267 ,  90 , 34 ,    14,,,,
05/25/26,    258 ,  190  , 74 ,    257 ,  75 , 29 ,     7,,,,
06/15/26,    253 ,  166  , 66 ,    251 ,  64 , 25 ,     3,,,,
07/06/26,    257 ,  175  , 68 ,      0 ,   0 ,  0 ,     0 ,,,,
07/27/26,    255 ,  222  , 87 ,      0 ,   0 ,  0 ,     0 ,,,,
   Total ,   3385 , 2310  , 68 ,   3340 , 817 , 24 ,   113,,,,
"Date","Br Elig","Bred","Pct","Pg Elig","Preg","Pct","Aborts","","","",
01/10/25,     26 ,    9  , 35 ,*    23 ,   1 ,  4 ,     0,,,,
01/31/25,     29 ,   14  , 48 ,*    26 ,   3 , 12 ,     0,,,,
02/21/25,     24 ,   15  , 62 ,     23 ,   2 ,  9 ,     0,,,,
03/14/25,     20 ,    8  , 40 ,     20 ,   0 ,  0 ,     0,,,,
04/04/25,     20 ,   13  , 65 ,     18 ,   1 ,  6 ,     0,,,,
04/25/25,     27 ,   10  , 37 ,     26 ,   3 , 12 ,     1,,,,
05/16/25,     33 ,   21  , 64 ,     32 ,   4 , 12 ,     2,,,,
06/06/25,     33 ,   16  , 48 ,     33 ,   1 ,  3 ,     1,,,,
06/27/25,     43 ,   25  , 58 ,     43 ,   3 ,  7 ,     3,,,,
07/18/25,     53 ,   27  , 51 ,     52 ,   0 ,  0 ,     0,,,,
08/08/25,     75 ,   34  , 45 ,     74 ,   1 ,  1 ,     1,,,,
08/29/25,     88 ,   47  , 53 ,     87 ,   2 ,  2 ,     2,,,,
09/19/25,    120 ,   48  , 40 ,    116 ,   7 ,  6 ,     6,,,,
10/10/25,    152 ,   79  , 52 ,    149 ,  10 ,  7 ,     9,,,,
10/31/25,    194 ,   89  , 46 ,    192 ,   7 ,  4 ,     5,,,,
11/21/25,    234 ,  142  , 61 ,    231 ,   9 ,  4 ,     8,,,,
