"PEN","PCT","Count","Total","95% CI",
Total     ,    ,    0 ,    0 ,   -  ,
"Date","Br Elig","Bred","Pct","Pg Elig","Preg","Pct","Aborts","","","",
05/13/25,     22 ,   20  , 91 ,     21 ,   4 , 19 ,     2,,,,
06/03/25,     26 ,   13  , 50 ,     26 ,   1 ,  4 ,     1,,,,
06/24/25,     35 ,   24  , 69 ,     35 ,   3 ,  9 ,     3,,,,
07/15/25,     42 ,   24  , 57 ,     41 ,   0 ,  0 ,     0,,,,
08/05/25,     48 ,   24  , 50 ,     47 ,   1 ,  2 ,     1,,,,
08/26/25,     69 ,   40  , 58 ,     68 ,   2 ,  3 ,     2,,,,
09/16/25,     82 ,   48  , 59 ,     78 ,   6 ,  8 ,     5,,,,
10/07/25,     99 ,   67  , 68 ,     96 ,   6 ,  6 ,     5,,,,
10/28/25,    132 ,   75  , 57 ,    130 ,   6 ,  5 ,     5,,,,
11/18/25,    174 ,  118  , 68 ,    171 ,   8 ,  5 ,     7,,,,
12/09/25,    216 ,  118  , 55 ,    215 ,   3 ,  1 ,     2,,,,
12/30/25,    291 ,  186  , 64 ,    290 ,  36 , 12 ,     5,,,,
01/20/26,    313 ,  192  , 61 ,    311 ,  68 , 22 ,     7,,,,
02/10/26,    278 ,  188  , 68 ,    275 ,  75 , 27 ,     6,,,,
03/03/26,    305 ,  220  , 72 ,    303 ,  91 , 30 ,     8,,,,
03/24/26,    313 ,  205  , 65 ,    312 , 100 , 32 ,     2,,,,
04/14/26,    259 ,  176  , 68 ,    257 ,  68 , 26 ,     4,,,,
05/05/26,    354 ,  256  , 72 ,    349 ,  96 , 28 ,     8,,,,
05/26/26,    377 ,  252  , 67 ,    372 ,  90 , 24 ,     9,,,,
06/16/26,    338 ,  214  , 63 ,    337 ,  89 , 26 ,     0,,,,
07/07/26,    284 ,  193  , 68 ,      0 ,   0 ,  0 ,     0 ,,,,
07/28/26,    246 ,  209  , 85 ,      0 ,   0 ,  0 ,     0 ,,,,
   Total ,   3773 , 2460  , 65 ,   3734 , 753 , 20 ,    82,,,,
"Date","Br Elig","Bred","Pct","Pg Elig","Preg","Pct","Aborts","","","",
05/13/25,     39 ,   23  , 59 ,*    29 ,   0 ,  0 ,     0,,,,
06/03/25,     35 ,   22  , 63 ,     33 ,   5 , 15 ,     1,,,,
06/24/25,     34 ,   16  , 47 ,     33 ,   4 , 12 ,     2,,,,
07/15/25,     36 ,   23  , 64 ,     35 ,   8 , 23 ,     0,,,,
08/05/25,     34 ,   20  , 59 ,     33 ,   3 ,  9 ,     2,,,,
08/26/25,     34 ,   21  , 62 ,     33 ,   4 , 12 ,     4,,,,
09/16/25,     37 ,   24  , 65 ,     37 ,   8 , 22 ,     7,,,,
10/07/25,     51 ,   38  , 75 ,     50 ,   8 , 16 ,     6,,,,
10/28/25,     76 ,   48  , 63 ,     75 ,   6 ,  8 ,     5,,,,
11/18/25,    130 ,   86  , 66 ,    127 ,   9 ,  7 ,     6,,,,
12/09/25,    181 ,  115  , 64 ,    179 ,  13 ,  7 ,    10,,,,
12/30/25,    248 ,  173  , 70 ,    244 ,  33 , 14 ,     8,,,,
01/20/26,    327 ,  210  , 64 ,    325 , 107 , 33 ,    11,,,,
02/10/26,    344 ,  255  , 74 ,    344 , 102 , 30 ,     7,,,,
03/03/26,    373 ,  282  , 76 ,    371 , 114 , 31 ,    12,,,,
03/24/26,    329 ,  218  , 66 ,    326 ,  83 , 25 ,     5,,,,
04/14/26,    326 ,  238  , 73 ,    322 ,  98 , 30 ,     4,,,,
05/05/26,    271 ,  186  , 69 ,    267 ,  90 , 34 ,    15,,,,
05/26/26,    258 ,  190  , 74 ,    257 ,  74 , 29 ,     7,,,,
06/16/26,    255 ,  169  , 66 ,    253 ,  67 , 26 ,     3,,,,
07/07/26,    257 ,  175  , 68 ,      0 ,   0 ,  0 ,     0 ,,,,
07/28/26,    255 ,  223  , 87 ,      0 ,   0 ,  0 ,     0 ,,,,
   Total ,   3418 , 2357  , 69 ,   3373 , 836 , 25 ,   115,,,,
"Date","Br Elig","Bred","Pct","Pg Elig","Preg","Pct","Aborts","","","",
01/11/25,     23 ,    8  , 35 ,     22 ,   2 ,  9 ,     0,,,,
02/01/25,     27 ,   15  , 56 ,     25 ,   3 , 12 ,     0,,,,
02/22/25,     23 ,   12  , 52 ,     22 ,   1 ,  5 ,     0,,,,
03/15/25,     20 ,   11  , 55 ,     19 ,   0 ,  0 ,     0,,,,
04/05/25,     19 ,   12  , 63 ,     18 ,   1 ,  6 ,     0,,,,
04/26/25,     28 ,   18  , 64 ,     26 ,   4 , 15 ,     1,,,,
05/17/25,     31 ,   17  , 55 ,     31 ,   3 , 10 ,     3,,,,
06/07/25,     33 ,   20  , 61 ,     33 ,   3 ,  9 ,     3,,,,
06/28/25,     44 ,   21  , 48 ,     44 ,   1 ,  2 ,     1,,,,
07/19/25,     54 ,   28  , 52 ,     53 ,   1 ,  2 ,     1,,,,
08/09/25,     74 ,   39  , 53 ,     73 ,   2 ,  3 ,     2,,,,
08/30/25,     86 ,   50  , 58 ,     84 ,   4 ,  5 ,     4,,,,
09/20/25,    117 ,   52  , 44 ,    113 ,   3 ,  3 ,     2,,,,
10/11/25,    153 ,   79  , 52 ,    150 ,  10 ,  7 ,     9,,,,
11/01/25,    197 ,  108  , 55 ,    196 ,   8 ,  4 ,     8,,,,
11/22/25,    241 ,  149  , 62 ,    237 ,  10 ,  4 ,     9,,,,
12/13/25,    304 ,  161  , 53 ,    303 ,   2 ,  1 ,     0,,,,
   Total ,   1474 ,  800  , 54 ,   1449 ,  58 ,  4 ,    43,,,,
"Date","Br Elig","Bred","Pct","Pg Elig","Preg","Pct","Aborts","","","",
01/11/25,     64 ,   31  , 48 ,*    52 ,   6 , 12 ,     3,,,,
02/01/25,     74 ,   45  , 61 ,*    65 ,  11 , 17 ,     4,,,,
02/22/25,     68 ,   33  , 49 ,     64 ,   8 , 12 ,     2,,,,
03/15/25,     66 ,   39  , 59 ,*    59 ,   5 ,  8 ,     2,,,,
04/05/25,     61 ,   34  , 56 ,     59 ,  12 , 20 ,     2,,,,
04/26/25,     50 ,   36  , 72 ,*    43 ,   7 , 16 ,     4,,,,
05/17/25,     42 ,   26  , 62 ,*    35 ,   2 ,  6 ,     1,,,,
06/07/25,     38 ,   22  , 58 ,     38 ,   5 , 13 ,     1,,,,
06/28/25,     39 ,   22  , 56 ,     38 ,   7 , 18 ,     2,,,,
07/19/25,     42 ,   24  , 57 ,     41 ,   5 , 12 ,     1,,,,
08/09/25,     40 ,   20  , 50 ,     39 ,   6 , 15 ,     6,,,,
08/30/25,     41 ,   26  , 63 ,     40 ,   3 ,  8 ,     3,,,,
09/20/25,     65 ,   36  , 55 ,     64 ,  14 , 22 ,    11,,,,
10/11/25,     87 ,   44  , 51 ,     85 ,   2 ,  2 ,     2,,,,
11/01/25,    138 ,   86  , 62 ,    137 ,  10 ,  7 ,     7,,,,
11/22/25,    201 ,  111  , 55 ,    198 ,  14 ,  7 ,    10,,,,
12/13/25,    294 ,  150  , 51 ,    291 ,  18 ,  6 ,    13,,,,
   Total ,   1410 ,  785  , 56 ,   1348 , 135 , 10 ,    74,,,,
"Technician","95% CI","%Conc","#Preg","#Open","Other","Abort","Total","%Tot","SPC",
Carlos               ,026-48 ,   36 ,   27 ,   47 ,    1 ,    0 ,   75 ,  47 , 2.7,
Ivan                 ,023-45 ,   33 ,   22 ,   44 ,    1 ,    0 ,   67 ,  42 , 3.0,
Rosendo              ,   -   ,    7 ,    1 ,   13 ,    5 ,    0 ,   19 ,  12 ,14.0,
TOTALS               ,026-40 ,   32 ,   50 ,  104 ,    7 ,    0 ,  161 , 100 , 3.1,
"Breeding Code","95% CI","%Conc","#Preg","#Open","Other","Abort","Total","%Tot","SPC",
Natural              ,013-37 ,   23 ,   11 ,   37 ,    5 ,    0 ,   53 ,  33 , 4.4,
Ovsynch              ,028-46 ,   37 ,   39 ,   67 ,    2 ,    0 ,  108 ,  67 , 2.7,
