"PEN","PCT","Count","Total","95% CI",
        1 , 62 ,   13 ,   21 ,041-79,
        2 , 60 ,    6 ,   10 ,   -  ,
        5 , 48 ,   10 ,   21 ,028-68,
        6 , 53 ,   10 ,   19 ,   -  ,
        7 , 70 ,    7 ,   10 ,   -  ,
        8 , 46 ,    6 ,   13 ,   -  ,
Total     , 55 ,   52 ,   94 ,045-65,
"Date","Br Elig","Bred","Pct","Pg Elig","Preg","Pct","Aborts","","","",
05/19/25,     21 ,   15  , 71 ,     21 ,   3 , 14 ,     3,,,,
06/09/25,     27 ,   18  , 67 ,     27 ,   2 ,  7 ,     2,,,,
06/30/25,     33 ,   19  , 58 ,     33 ,   1 ,  3 ,     1,,,,
07/21/25,     42 ,   23  , 55 ,     41 ,   1 ,  2 ,     1,,,,
08/11/25,     53 ,   35  , 66 ,     52 ,   1 ,  2 ,     1,,,,
09/01/25,     69 ,   37  , 54 ,     67 ,   1 ,  1 ,     1,,,,
09/22/25,     75 ,   46  , 61 ,     71 ,   2 ,  3 ,     1,,,,
10/13/25,    101 ,   61  , 60 ,     98 ,   7 ,  7 ,     6,,,,
11/03/25,    131 ,   84  , 64 ,    130 ,   7 ,  5 ,     7,,,,
11/24/25,    175 ,  108  , 62 ,    172 ,   8 ,  5 ,     7,,,,
12/15/25,    215 ,  124  , 58 ,    215 ,   3 ,  1 ,     1,,,,
01/05/26,    281 ,  168  , 60 ,    279 ,  35 , 13 ,    10,,,,
01/26/26,    293 ,  179  , 61 ,    292 ,  73 , 25 ,     7,,,,
02/16/26,    283 ,  202  , 71 ,    279 ,  79 , 28 ,     6,,,,
03/09/26,    317 ,  209  , 66 ,    315 ,  93 , 30 ,     8,,,,
03/30/26,    307 ,  209  , 68 ,    306 ,  91 , 30 ,     4,,,,
04/20/26,    279 ,  195  , 70 ,    277 ,  74 , 27 ,     4,,,,
05/11/26,    365 ,  263  , 72 ,    358 ,  94 , 26 ,     7,,,,
06/01/26,    346 ,  202  , 58 ,    344 ,  75 , 22 ,     4,,,,
06/22/26,    316 ,  209  , 66 ,    315 ,  84 , 27 ,     0,,,,
07/13/26,    274 ,  173  , 63 ,      0 ,   0 ,  0 ,     0 ,,,,
08/03/26,    215 ,  183  , 85 ,      0 ,   0 ,  0 ,     0 ,,,,
   Total ,   3729 , 2406  , 65 ,   3692 , 734 , 20 ,    81,,,,
"Date","Br Elig","Bred","Pct","Pg Elig","Preg","Pct","Aborts","","","",
05/19/25,     33 ,   19  , 58 ,*    26 ,   0 ,  0 ,     0,,,,
06/09/25,     29 ,   18  , 62 ,     29 ,   5 , 17 ,     1,,,,
06/30/25,     33 ,   19  , 58 ,     32 ,   7 , 22 ,     2,,,,
07/21/25,     32 ,   20  , 62 ,     31 ,   5 , 16 ,     1,,,,
08/11/25,     30 ,   15  , 50 ,     29 ,   5 , 17 ,     5,,,,
09/01/25,     31 ,   21  , 68 ,     30 ,   1 ,  3 ,     1,,,,
09/22/25,     35 ,   25  , 71 ,     34 ,   8 , 24 ,     6,,,,
10/13/25,     47 ,   27  , 57 ,     45 ,   2 ,  4 ,     2,,,,
11/03/25,     82 ,   55  , 67 ,     82 ,   8 , 10 ,     5,,,,
