"PEN","PCT","Count","Total","95% CI",
        1 , 33 ,    2 ,    6 ,   -  ,
        2 , 80 ,    4 ,    5 ,   -  ,
        5 , 52 ,   12 ,   23 ,033-71,
        6 , 59 ,   13 ,   22 ,039-77,
        7 , 25 ,    4 ,   16 ,   -  ,
        8 , 53 ,   10 ,   19 ,   -  ,
Total     , 49 ,   45 ,   91 ,039-60,
"Date","Br Elig","Bred","Pct","Pg Elig","Preg","Pct","Aborts","","","",
05/26/25,     20 ,   13  , 65 ,     20 ,   2 , 10 ,     2,,,,
06/16/25,     31 ,   16  , 52 ,     31 ,   4 , 13 ,     4,,,,
07/07/25,     33 ,   20  , 61 ,     33 ,   0 ,  0 ,     0,,,,
07/28/25,     41 ,   20  , 49 ,     40 ,   1 ,  2 ,     1,,,,
08/18/25,     55 ,   35  , 64 ,     53 ,   2 ,  4 ,     2,,,,
09/08/25,     72 ,   39  , 54 ,     69 ,   2 ,  3 ,     2,,,,
09/29/25,     79 ,   49  , 62 ,     76 ,   4 ,  5 ,     2,,,,
10/20/25,    104 ,   61  , 59 ,    101 ,   7 ,  7 ,     6,,,,
11/10/25,    137 ,   84  , 61 ,    137 ,   5 ,  4 ,     5,,,,
12/01/25,    176 ,  100  , 57 ,    173 ,   8 ,  5 ,     7,,,,
12/22/25,    224 ,  147  , 66 ,    224 ,   4 ,  2 ,     1,,,,
01/12/26,    277 ,  146  , 53 ,    274 ,  30 , 11 ,    11,,,,
02/02/26,    272 ,  171  , 63 ,    270 ,  66 , 24 ,     5,,,,
02/23/26,    291 ,  203  , 70 ,    289 ,  82 , 28 ,     5,,,,
03/16/26,    323 ,  214  , 66 ,    321 , 103 , 32 ,     5,,,,
04/06/26,    277 ,  182  , 66 ,    276 ,  78 , 28 ,     5,,,,
04/27/26,    309 ,  223  , 72 ,    307 ,  79 , 26 ,     6,,,,
05/18/26,    385 ,  257  , 67 ,    379 , 102 , 27 ,     8,,,,
06/08/26,    332 ,  206  , 62 ,    331 ,  69 , 21 ,     1,,,,
06/29/26,    287 ,  185  , 64 ,    285 ,  65 , 23 ,     1,,,,
07/20/26,    284 ,  191  , 67 ,      0 ,   0 ,  0 ,     0 ,,,,
08/10/26,    215 ,  186  , 87 ,      0 ,   0 ,  0 ,     0 ,,,,
   Total ,   3725 , 2371  , 64 ,   3689 , 713 , 19 ,    79,,,,
"Date","Br Elig","Bred","Pct","Pg Elig","Preg","Pct","Aborts","","","",
05/26/25,     33 ,   19  , 58 ,*    28 ,   1 ,  4 ,     1,,,,
06/16/25,     32 ,   19  , 59 ,     32 ,   5 , 16 ,     1,,,,
07/07/25,     33 ,   21  , 64 ,     31 ,   7 , 23 ,     1,,,,
07/28/25,     29 ,   17  , 59 ,     28 ,   3 , 11 ,     1,,,,
08/18/25,     29 ,   15  , 52 ,     29 ,   5 , 17 ,     5,,,,
09/08/25,     31 ,   16  , 52 ,     30 ,   4 , 13 ,     4,,,,
09/29/25,     39 ,   32  , 82 ,     37 ,  11 , 30 ,     8,,,,
10/20/25,     50 ,   28  , 56 ,     49 ,   1 ,  2 ,     1,,,,
11/10/25,     95 ,   69  , 73 ,     93 ,  10 , 11 ,     6,,,,
12/01/25,    133 ,   77  , 58 ,    131 ,  12 ,  9 ,    10,,,,
12/22/25,    185 ,  128  , 69 ,    183 ,  12 ,  7 ,     8,,,,
01/12/26,    264 ,  171  , 65 ,    261 ,  39 , 15 ,     9,,,,
02/02/26,    344 ,  241  , 70 ,    343 , 108 , 31 ,     9,,,,
02/23/26,    334 ,  242  , 72 ,    333 ,  99 , 30 ,     9,,,,
03/16/26,    361 ,  255  , 71 ,    357 ,  96 , 27 ,     9,,,,
04/06/26,    333 ,  245  , 74 ,    328 , 102 , 31 ,     7,,,,
04/27/26,    282 ,  191  , 68 ,    276 ,  86 , 31 ,    12,,,,
05/18/26,    257 ,  192  , 75 ,    257 ,  82 , 32 ,    11,,,,
06/08/26,    248 ,  167  , 67 ,    245 ,  60 , 24 ,     4,,,,
06/29/26,    256 ,  180  , 70 ,    253 ,  67 , 26 ,     3,,,,
07/20/26,    279 ,  199  , 71 ,      0 ,   0 ,  0 ,     0 ,,,,
08/10/26,    251 ,  218  , 87 ,      0 ,   0 ,  0 ,     0 ,,,,
   Total ,   3368 , 2325  , 69 ,   3324 , 810 , 24 ,   119,,,,
"Date","Br Elig","Bred","Pct","Pg Elig","Preg","Pct","Aborts","","","",
01/24/25,     25 ,    9  , 36 ,     23 ,   1 ,  4 ,     0,,,,
02/14/25,     26 ,   18  , 69 ,     24 ,   3 , 12 ,     0,,,,
03/07/25,     21 ,    7  , 33 ,     21 ,   1 ,  5 ,     0,,,,
03/28/25,     19 ,   14  , 74 ,     17 ,   1 ,  6 ,     0,,,,
04/18/25,     22 ,   10  , 45 ,     21 ,   3 , 14 ,     1,,,,
05/09/25,     25 ,   18  , 72 ,     24 ,   3 , 12 ,     2,,,,
05/30/25,     29 ,   16  , 55 ,     29 ,   1 ,  3 ,     1,,,,
06/20/25,     36 ,   18  , 50 ,     36 ,   4 , 11 ,     4,,,,
