"PEN","PCT","Count","Total","95% CI",
        1 , 42 ,    5 ,   12 ,   -  ,
        2 , 57 ,   13 ,   23 ,037-74,
        5 , 59 ,   16 ,   27 ,041-75,
        6 , 73 ,   11 ,   15 ,   -  ,
        7 , 44 ,    8 ,   18 ,   -  ,
        8 , 48 ,   13 ,   27 ,031-66,
Total     , 54 ,   66 ,  122 ,045-63,
"Date","Br Elig","Bred","Pct","Pg Elig","Preg","Pct","Aborts","","","",
06/02/25,     24 ,   14  , 58 ,     24 ,   2 ,  8 ,     2,,,,
06/23/25,     30 ,   20  , 67 ,     30 ,   3 , 10 ,     3,,,,
07/14/25,     34 ,   18  , 53 ,     33 ,   0 ,  0 ,     0,,,,
08/04/25,     38 ,   18  , 47 ,     37 ,   1 ,  3 ,     1,,,,
08/25/25,     56 ,   31  , 55 ,     55 ,   2 ,  4 ,     2,,,,
09/15/25,     70 ,   44  , 63 ,     66 ,   5 ,  8 ,     4,,,,
10/06/25,     80 ,   49  , 61 ,     77 ,   3 ,  4 ,     2,,,,
10/27/25,    106 ,   61  , 58 ,    104 ,   5 ,  5 ,     4,,,,
11/17/25,    140 ,   93  , 66 ,    138 ,   4 ,  3 ,     3,,,,
12/08/25,    172 ,   93  , 54 ,    171 ,   3 ,  2 ,     2,,,,
12/29/25,    230 ,  144  , 63 ,    229 ,   6 ,  3 ,     5,,,,
01/19/26,    269 ,  149  , 55 ,    267 ,  28 , 10 ,     8,,,,
02/09/26,    274 ,  185  , 68 ,    271 ,  75 , 28 ,     6,,,,
03/02/26,    297 ,  207  , 70 ,    295 ,  86 , 29 ,     7,,,,
03/23/26,    306 ,  200  , 65 ,    305 ,  97 , 32 ,     3,,,,
04/13/26,    253 ,  170  , 67 ,    251 ,  67 , 27 ,     4,,,,
05/04/26,    337 ,  240  , 71 ,    333 ,  88 , 26 ,     8,,,,
05/25/26,    373 ,  245  , 66 ,    368 ,  91 , 25 ,     9,,,,
06/15/26,    337 ,  215  , 64 ,    336 ,  90 , 27 ,     2,,,,
07/06/26,    280 ,  189  , 68 ,    279 ,  68 , 24 ,     2,,,,
07/27/26,    290 ,  205  , 71 ,      0 ,   0 ,  0 ,     0 ,,,,
08/17/26,    238 ,  203  , 85 ,      0 ,   0 ,  0 ,     0 ,,,,
   Total ,   3706 , 2385  , 64 ,   3669 , 724 , 20 ,    77,,,,
"Date","Br Elig","Bred","Pct","Pg Elig","Preg","Pct","Aborts","","","",
06/02/25,     31 ,   20  , 65 ,     29 ,   4 , 14 ,     0,,,,
06/23/25,     30 ,   13  , 43 ,     30 ,   4 , 13 ,     2,,,,
07/14/25,     32 ,   21  , 66 ,     30 ,   7 , 23 ,     0,,,,
08/04/25,     28 ,   17  , 61 ,     27 ,   4 , 15 ,     3,,,,
08/25/25,     26 ,   15  , 58 ,     25 ,   3 , 12 ,     3,,,,
09/15/25,     27 ,   18  , 67 ,     27 ,   8 , 30 ,     7,,,,
10/06/25,     34 ,   24  , 71 ,     33 ,   6 , 18 ,     4,,,,
10/27/25,     49 ,   29  , 59 ,     48 ,   3 ,  6 ,     2,,,,
11/17/25,     92 ,   59  , 64 ,     90 ,   8 ,  9 ,     5,,,,
12/08/25,    126 ,   78  , 62 ,    124 ,  12 , 10 ,     9,,,,
12/29/25,    178 ,  123  , 69 ,    176 ,  11 ,  6 ,     8,,,,
01/19/26,    250 ,  137  , 55 ,    248 ,  39 , 16 ,     9,,,,
02/09/26,    328 ,  244  , 74 ,    328 , 101 , 31 ,     8,,,,
03/02/26,    352 ,  257  , 73 ,    351 , 103 , 29 ,     9,,,,
03/23/26,    323 ,  215  , 67 ,    320 ,  82 , 26 ,     5,,,,
04/13/26,    319 ,  231  , 72 ,    316 ,  92 , 29 ,     4,,,,
05/04/26,    266 ,  182  , 68 ,    263 ,  92 , 35 ,    14,,,,
05/25/26,    251 ,  186  , 74 ,    250 ,  73 , 29 ,     7,,,,
06/15/26,    251 ,  164  , 65 ,    249 ,  63 , 25 ,     9,,,,
07/06/26,    258 ,  176  , 68 ,    253 ,  63 , 25 ,     2,,,,
07/27/26,    299 ,  223  , 75 ,      0 ,   0 ,  0 ,     0 ,,,,
08/17/26,    226 ,  186  , 82 ,      0 ,   0 ,  0 ,     0 ,,,,
   Total ,   3251 , 2209  , 68 ,   3217 , 778 , 24 ,   110,,,,
"Date","Br Elig","Bred","Pct","Pg Elig","Preg","Pct","Aborts","","","",
01/31/25,     27 ,   14  , 52 ,*    24 ,   3 , 12 ,     0,,,,
02/21/25,     22 ,   13  , 59 ,     21 ,   2 , 10 ,     0,,,,
03/14/25,     18 ,    7  , 39 ,     18 ,   0 ,  0 ,     0,,,,
04/04/25,     18 ,   12  , 67 ,     16 ,   1 ,  6 ,     0,,,,
04/25/25,     23 ,    8  , 35 ,     22 ,   3 , 14 ,     1,,,,
05/16/25,     28 ,   17  , 61 ,     27 ,   3 , 11 ,     1,,,,
06/06/25,     28 ,   14  , 50 ,     28 ,   1 ,  4 ,     1,,,,
06/27/25,     35 ,   22  , 63 ,     35 ,   3 ,  9 ,     3,,,,
07/18/25,     45 ,   21  , 47 ,     44 ,   0 ,  0 ,     0,,,,
08/08/25,     63 ,   29  , 46 ,     62 ,   1 ,  2 ,     1,,,,
08/29/25,     75 ,   39  , 52 ,     74 ,   2 ,  3 ,     2,,,,
09/19/25,    101 ,   43  , 43 ,     97 ,   5 ,  5 ,     4,,,,
10/10/25,    123 ,   64  , 52 ,    120 ,   7 ,  6 ,     6,,,,
10/31/25,    160 ,   68  , 42 ,    158 ,   5 ,  3 ,     4,,,,
11/21/25,    187 ,  114  , 61 ,    185 ,   6 ,  3 ,     5,,,,
12/12/25,    240 ,  117  , 49 ,    238 ,   3 ,  1 ,     2,,,,
01/02/26,    287 ,  162  , 56 ,    286 ,  13 ,  5 ,    11,,,,
   Total ,   1480 ,  764  , 52 ,   1455 ,  58 ,  4 ,    41,,,,
"Date","Br Elig","Bred","Pct","Pg Elig","Preg","Pct","Aborts","","","",
01/31/25,     77 ,   44  , 57 ,*    64 ,  11 , 17 ,     4,,,,
02/21/25,     68 ,   30  , 44 ,     64 ,   7 , 11 ,     2,,,,
03/14/25,     66 ,   33  , 50 ,*    58 ,   4 ,  7 ,     0,,,,
04/04/25,     61 ,   33  , 54 ,     58 ,  11 , 19 ,     3,,,,
04/25/25,     51 ,   36  , 71 ,     47 ,  11 , 23 ,     5,,,,
05/16/25,     40 ,   22  , 55 ,*    31 ,   0 ,  0 ,     0,,,,
06/06/25,     35 ,   20  , 57 ,     34 ,   5 , 15 ,     1,,,,
06/27/25,     35 ,   17  , 49 ,     34 ,   5 , 15 ,     2,,,,
07/18/25,     37 ,   21  , 57 ,     36 ,   7 , 19 ,     1,,,,
08/08/25,     32 ,   16  , 50 ,     31 ,   4 , 13 ,     3,,,,
08/29/25,     31 ,   17  , 55 ,     30 ,   4 , 13 ,     4,,,,
09/19/25,     51 ,   21  , 41 ,     50 ,   8 , 16 ,     7,,,,
10/10/25,     67 ,   33  , 49 ,     65 ,   6 ,  9 ,     4,,,,
10/31/25,     99 ,   52  , 53 ,     99 ,   7 ,  7 ,     4,,,,
11/21/25,    148 ,   71  , 48 ,    145 ,   9 ,  6 ,     6,,,,
12/12/25,    213 ,  101  , 47 ,    211 ,  19 ,  9 ,    15,,,,
01/02/26,    286 ,  171  , 60 ,    284 ,  14 ,  5 ,    10,,,,
   Total ,   1397 ,  738  , 53 ,   1341 , 132 , 10 ,    71,,,,
"Technician","95% CI","%Conc","#Preg","#Open","Other","Abort","Total","%Tot","SPC",
Alberto              ,   -   ,    0 ,    0 ,    2 ,    0 ,    0 ,    2 ,   1 ,    ,
Carlos               ,025-45 ,   35 ,   29 ,   55 ,    4 ,    0 ,   88 ,  46 , 2.9,
Ivan                 ,034-59 ,   46 ,   25 ,   29 ,    4 ,    0 ,   58 ,  30 , 2.2,
Rosendo              ,015-41 ,   26 ,   11 ,   31 ,    2 ,    0 ,   44 ,  23 , 3.8,
TOTALS               ,029-43 ,   36 ,   65 ,  117 ,   10 ,    0 ,  192 , 100 , 2.8,
"Breeding Code","95% CI","%Conc","#Preg","#Open","Other","Abort","Total","%Tot","SPC",
Natural              ,025-51 ,   37 ,   17 ,   29 ,    2 ,    0 ,   48 ,  25 , 2.7,
Ovsynch              ,028-44 ,   35 ,   48 ,   88 ,    8 ,    0 ,  144 ,  75 , 2.8,
TOTALS               ,029-43 ,   36 ,   65 ,  117 ,   10 ,    0 ,  192 , 100 , 2.8,
