"PEN","PCT","Count","Total","95% CI",
        1 , 52 ,   14 ,   27 ,034-69,
        2 , 43 ,   10 ,   23 ,026-63,
        3 , 11 ,    1 ,    9 ,   -  ,
        4 , 30 ,    3 ,   10 ,   -  ,
        5 , 55 ,    6 ,   11 ,   -  ,
        6 , 47 ,    7 ,   15 ,   -  ,
        7 , 42 ,    8 ,   19 ,   -  ,
        8 , 42 ,    5 ,   12 ,   -  ,
Total     , 43 ,   54 ,  126 ,035-52,
"Date","Br Elig","Bred","Pct","Pg Elig","Preg","Pct","Aborts","","","",
06/09/25,     24 ,   15  , 62 ,     24 ,   2 ,  8 ,     2,,,,
06/30/25,     30 ,   19  , 63 ,     30 ,   1 ,  3 ,     1,,,,
07/21/25,     37 ,   18  , 49 ,     36 ,   1 ,  3 ,     1,,,,
08/11/25,     48 ,   32  , 67 ,     47 ,   1 ,  2 ,     1,,,,
09/01/25,     60 ,   32  , 53 ,     58 ,   0 ,  0 ,     0,,,,
09/22/25,     66 ,   42  , 64 ,     62 ,   2 ,  3 ,     1,,,,
10/13/25,     85 ,   49  , 58 ,     82 ,   5 ,  6 ,     4,,,,
11/03/25,    109 ,   70  , 64 ,    108 ,   6 ,  6 ,     6,,,,
11/24/25,    149 ,   94  , 63 ,    146 ,   6 ,  4 ,     5,,,,
12/15/25,    180 ,  103  , 57 ,    180 ,   3 ,  2 ,     1,,,,
01/05/26,    232 ,  137  , 59 ,    230 ,  12 ,  5 ,    11,,,,
01/26/26,    256 ,  143  , 56 ,    255 ,  38 , 15 ,     9,,,,
02/16/26,    281 ,  200  , 71 ,    277 ,  77 , 28 ,     6,,,,
03/09/26,    317 ,  208  , 66 ,    315 ,  92 , 29 ,     8,,,,
03/30/26,    306 ,  208  , 68 ,    305 ,  91 , 30 ,     5,,,,
04/20/26,    278 ,  194  , 70 ,    277 ,  74 , 27 ,     4,,,,
05/11/26,    365 ,  263  , 72 ,    358 ,  95 , 27 ,     7,,,,
06/01/26,    344 ,  200  , 58 ,    343 ,  74 , 22 ,     5,,,,
06/22/26,    317 ,  209  , 66 ,    317 ,  84 , 26 ,     1,,,,
07/13/26,    275 ,  172  , 63 ,    274 ,  65 , 24 ,     1,,,,
08/03/26,    270 ,  184  , 68 ,      0 ,   0 ,  0 ,     0 ,,,,
08/24/26,    231 ,  190  , 82 ,      0 ,   0 ,  0 ,     0 ,,,,
   Total ,   3759 , 2408  , 64 ,   3724 , 729 , 20 ,    79,,,,
"Date","Br Elig","Bred","Pct","Pg Elig","Preg","Pct","Aborts","","","",
06/09/25,     27 ,   17  , 63 ,     27 ,   5 , 19 ,     1,,,,
06/30/25,     30 ,   16  , 53 ,     29 ,   7 , 24 ,     2,,,,
07/21/25,     29 ,   19  , 66 ,     28 ,   5 , 18 ,     1,,,,
08/11/25,     25 ,   12  , 48 ,     24 ,   4 , 17 ,     4,,,,
09/01/25,     24 ,   16  , 67 ,     23 ,   1 ,  4 ,     1,,,,
09/22/25,     26 ,   17  , 65 ,     25 ,   8 , 32 ,     6,,,,
10/13/25,     34 ,   23  , 68 ,     32 ,   2 ,  6 ,     2,,,,
11/03/25,     59 ,   34  , 58 ,     59 ,   6 , 10 ,     3,,,,
11/24/25,     79 ,   47  , 59 ,     78 ,   7 ,  9 ,     4,,,,
12/15/25,    118 ,   74  , 63 ,    115 ,  12 , 10 ,    11,,,,
01/05/26,    193 ,  131  , 68 ,    190 ,  10 ,  5 ,     9,,,,
01/26/26,    249 ,  147  , 59 ,    248 ,  36 , 15 ,    12,,,,
02/16/26,    327 ,  224  , 69 ,    327 ,  88 , 27 ,    10,,,,
03/09/26,    370 ,  290  , 78 ,    367 , 109 , 30 ,     7,,,,
03/30/26,    308 ,  197  , 64 ,    304 ,  83 , 27 ,     8,,,,
04/20/26,    297 ,  220  , 74 ,    292 ,  92 , 32 ,     8,,,,
05/11/26,    240 ,  163  , 68 ,    239 ,  80 , 33 ,    13,,,,
06/01/26,    247 ,  171  , 69 ,    246 ,  68 , 28 ,     7,,,,
06/22/26,    246 ,  168  , 68 ,    245 ,  66 , 27 ,     5,,,,
07/13/26,    250 ,  172  , 69 ,    243 ,  52 , 21 ,     2,,,,
08/03/26,    309 ,  225  , 73 ,      0 ,   0 ,  0 ,     0 ,,,,
08/24/26,    252 ,  207  , 82 ,      0 ,   0 ,  0 ,     0 ,,,,
   Total ,   3178 , 2158  , 68 ,   3141 , 741 , 24 ,   116,,,,
"Date","Br Elig","Bred","Pct","Pg Elig","Preg","Pct","Aborts","","","",
02/07/25,     25 ,   16  , 64 ,     23 ,   3 , 13 ,     0,,,,
02/28/25,     21 ,    8  , 38 ,     20 ,   1 ,  5 ,     0,,,,
03/21/25,     18 ,   11  , 61 ,     17 ,   0 ,  0 ,     0,,,,
04/11/25,     18 ,   10  , 56 ,     17 ,   2 , 12 ,     0,,,,
05/02/25,     24 ,   13  , 54 ,     22 ,   3 , 14 ,     1,,,,
05/23/25,     26 ,   15  , 58 ,     26 ,   2 ,  8 ,     2,,,,
06/13/25,     29 ,   16  , 55 ,     29 ,   4 , 14 ,     3,,,,
